Progress,Duration (in seconds),Finished,RecordedDate,,,,Q_RecaptchaScore,warmup_1,warmup_2,warmup_3,Q90,Q91,circles_orin,circles_avery,sad_bf,bf_sad_why,sad_ice_cream,sad_candy,nf_sad,nf_sad_why,friendmom_sad,mom_sad_why,mom_sad,friendmom_sad_why,Q88,Q89,circles_cameron,circles_riley,happy_bf,bf_why,happy_candy,happy_ice_cream,nf_happy,nf_happy_why,mom_happy,mom_happy_why,friendmom_happy,friendmom_happy_why,Q1,Q1_4_TEXT,Q2,Q2_84_TEXT,Q5,Q6,Q6_5_TEXT,Q9,Q1,Q1,Q_RelevantIDDuplicateScore,Q_RelevantIDDuplicate,Q_RelevantIDFraudScore
100,445,1,4/26/25 13:15,,,,,2,6,4,1,2,4,3,1,He shared emotions not just social banter,1,1,0,"Kids love that Animal stuff, it will never change.",0,"Kids and Animals, animals and kids. Dinosaurs make them even crazier, but animals always work.",0,Kids love critters. They will tell you all they know about them every time. ,2,1,4,3,1,Kendall was more open with Riley and merely social with Kendall,0,1,0,"People want to sound smart, not overly personal, on first impressions.",0,Same reason. Kids love themselves some animal trivia.,0,because that's what kids do. Animal stuff blows their little minds and they get really excited when they know stuff about them.,2,,39,,2,6,,3,,67c111bb12926008b56bc878,,,
100,629,1,4/26/25 13:20,,,,,1,5,3,1,2,4,3,1,He confided feeling sad,1,1,0,It’s a special fact and good to share with prospective friend,0,He wants to share good thing with mom,0,It is safer than sharing his emotion,2,1,3,4,0,He shared more with him,1,0,0,That seems to be a special thing ,0,He wanted to share special thing with mom,1,Friend’s mom not that close for special thing,2,,56,,2,"3,6",,6,,6568b0b4e9cc3024c09286f9,,,
100,709,1,4/26/25 13:21,,,,,1,6,4,1,2,5,3,1,Because Percy told Avery about his feelings and not about something he learned about in school,1,0,1,You don't want to share the emotion of being sad to just anybody that's one of those emotions that not everybody should know you're feeling ,0,He wanted and probably needed his mother to know how he felt to get some comfort from her ,1,It's his friends mother she doesn't need to know that he's sad he's not seeking comfort from her ,2,1,4,3,1,He told Riley about how he was feeling instead of a fact that he learned in school ,0,1,1,Feeling happy is something that you want to share and spread to a friend ,1,He wanted to share how he was feeling with his mother ,0,The parent is a person of authority and not a friend nor is Kendall trying to be the parents friend ,1,,37,,2,2,,4,,671ab0904de8eb7273ae9d42,,,
100,1068,1,4/26/25 13:24,,,,,1,6,4,1,2,4,3,1,she share how he feels with her,1,0,0,they don't know much about each other,0,much  close to her,1,not close to her,2,1,4,3,1,because they share their feelings,1,1,0,The are just stranger yet to make friends with,1,much close together,0,because the are not much close together,1,,9,,2,6,,5,n/a,67e35ef34ea1b45768d8a285,,,
100,1307,1,4/26/25 13:32,,,,,1,6,3,1,2,2,4,1,because he shared his feeling with him,1,1,1,because he wants to make a new friend,0,because the mum asked about school not how percy is feeling,0,because she asked about how school was,2,1,1,1,1,because he shared his emotions with him,0,1,1,because he wanted a best friend,0,because the mum asked how was school and not how kendall was feeling,0,because the mums friend is not that close to kendall,1,,12,,2,2,,5,,67e7dac7c349cc02a86e6ded,,,
100,1638,1,4/26/25 13:33,,,,,1,6,3,1,2,5,4,1,"because he talked about something emotional with a friend,",1,0,1,because sharing a part of yourself is more important than anything.,0,because his mom is exactly who should know how he feels and he knows that,1,He would rather just give out a fact to a friends mom to show what he learned at school,2,1,5,4,1,Because talking about being happy is more of a intimate thing than a fact about elephants,1,1,1,Because she was sharing a real part of herself with another person.,1,Because she will tell her mom something personal.,0,Because she would want to impress an adult with what she knows.,2,,30,,2,6,,5,,5ca3bd506c848000011d0afa,,,
100,1595,1,4/26/25 13:36,,,,,1,6,3,1,2,3,1,1,Avery is a better friend to Percy because he shared his inner and close feelings towards Orin.,1,1,1,Percy sharing his feeling of sadness towards the new person would increase their bond with each other in the long run hence making them best friends.,0,"Due to their close relationship with their mum, Percy would tell her about his feelings. This is because Percy trusts her and would feel safe telling her about his mood.",1,Percy and their friend's mum are not close since it is not his mother. So sharing the information about the foxes will be the most probable response from him.,2,1,4,3,1,I think Riley is a better friend because Kendall decided to tell him/her about her feeling that day. Better friends tend to share emotions and feelings with each other.  ,0,1,0,Kendall sharing the fact about the elephant would be a great conversation starter than just a statement about feeling happy.,1,Kendall is much closer with their mum so telling her about feeling happy would be great. She would resonate with Kendall being happy more.,0,Kendall and his friends mom are not that close. Sharing the fact about the elephant would be better since the mom would expect that kind of response from Kendall since he was just from school.,1,,11,,2,6,,5,,67efe79c8409fcf7a0bcd480,,,
100,635,1,4/26/25 13:42,,,,,1,6,4,1,2,5,4,1,"Once again, he felt safe enough to tell Avery how sad he was.",1,1,1,Maybe the new friend would be able to cheer him up.,0,"Again, I think he would tell his mom that he was sad BECAUSE of what he learned about foxes.",1,"Maybe he would tell her both details. As a grownup, she might be able to explain and help him understand why he's so sad.",2,1,4,3,1,"He shared his feelings with Riley, rather than simply what he did.",0,1,1,"By sharing his feelings rather than facts, he is being more vulnerable.",1,"Actually, if I could, I would have chosen both responses.",0,She's a grownup:),1,,45,,2,6,,5,Thank you.,677c5e96582459bcf49e80da,,,
100,1971,1,4/26/25 13:42,,,,,1,6,3,1,2,3,2,1,Avery is a better friend because Percy felt comfortable sharing personal feelings with them instead of just facts.,1,1,0,Because the fact about elephants makes sense because sharing interesting information can spark conversation and help build a new friendship.,0,Kendall would choose the fact about foxes because it was something they learned from the teacher and were excited to share.,0,Kendall would choose the fact about Foxes because it was something they learned from the teacher and were excited to share.,2,1,3,2,1,I think Riley is a better friend because Kendall felt comfortable sharing their feelings of happiness with them. ,0,1,0,Choosing the fact about elephants makes sense because sharing interesting information can spark conversation and help build a new friendship.,1,Kendall would choose to tell their mom the fact about elephants because it was something exciting they learned at school and wanted to share.,0,Kendall would choose the fact about elephants because it was something they learned from the teacher and were excited to share.,2,,16,,2,6,,6,"No issues, the survey was easy to follow.",67f009096f360b659a390e2a,,,
100,701,1,4/26/25 14:23,,,,1,1,6,4,1,2,4,4,1,Because of the feelings.,1,1,0,I don't think new friends want to know you are sad.,1,Mom's care about our feelings more than they care about foxes.,1,Mom's love feelings more than foxes.,2,1,4,4,1,Because Kendall shared how they were feeling.,0,1,1,I think you share your feelings with friends.,1,Because Moms always care how you feel.,1,Because best friends are like Moms. You share how you feel with best friends and Moms.,1,,41,,2,6,,3,,5e646461698a071f2f15423e,,,
