Version,ID,Sex,Age_Years,Age_Months,Age_Days,Experimenter,Sad_Friend,Sad_Friend_why,Sad_BF,Sad_BF_why,Sad_NF,Sad_NF_why,Sad_Mom,Sad_mom_why,Sad_FriendMom,Sad_FriendMom_why,Happy_Friend,Happy_Friend_why,Happy_BF,Happy_BF_why,Happy_NF,Happy_NF_why,Happy_Mom,Happy_Mom_why,Happy_FriendMom,Happy_FriendMom_why
2A,S001,M,8,1,1,Megan,sad,idk,sad,idk,sad,idk,sad ,idk,sad ,idk,happy ,idk,happy ,idk,happy ,idk,happy ,idk,happy ,idk
2B,S002,M,7,4,1,Megan,sad,idk,owls,because he didn't know about the owls can move with the wings,owls,because his friend likes owls,fact,because Skylar likes foxes,fact,because Skylar likes geese too,rabbits,idk,rabbits,because she didn't know that rabbits lift with their back legs,happy,idk,fact,because he didn't know the fact about racoons,fact,because Jamie thinks lizards are cool
2C,S003,M,9,7,3,Megan,sad,it's good to share your feelings,sad,it's good to share your feelings,owls,because the other person would be interested in him,fact,because facts are cool,sad,because it's good to share your feelinngs,rabbits,because it is good to share your feelings,happy,because rabbits are a cool animal,rabbits,because then that person may become interested in them,happy,because she is her mom,fact,because lizards are cool
2D,S004,M,9,2,16,Megan,owls,he's not an extremely close friend,sad,because it's a close friend and some other friends might not understand,owls,he doesn't know him yet,sad,he is her son,fact,Skylar doesn't know her so much,rabbits,because she's not as close as his best friend,happy,becuase she wants to share her emotions with someone she knows,rabbits,because she hasn't known this friend for a long time,fact,because she wants to educate her,happy,because that's her mom's close friend
2A,S005,M,8,2,14,Megan,owls,he learned that owls flap their wings silently,sad,it's his best friend and he will tell his super close best friend anything,sad,if he tells that then they were gonna make him happy,sad,she will tell herson anything,fact,she doesn't want Skylar to know that she's deeply sad today,happy,it's her best friends,happy,it's her super close best friend and she knows that it will be happy,happy,he probably will want to be her best friend if she's telling him that,happy,she wants to tell her son that she's happy,fact,she doesn't know her that well and it's not her mom
2B,S006,F,7,2,23,Megan,sad ,he's feeling sad and he wants to talk about it with someone,sad,he wants to process it with someone,sad,he wants to tell them and ask how are you and they can talk about it,fact,"grownups can talk to a therapist, kids can talk to a therapist and thier parents",fact,grownups can find their own therapist and do not have to work it out with a kid,happy,she's so happy that she needs to tell someone she's happy,happy,they are best friends,happy,for best friends the first thing you say is how your day was,happy,she's happy,fact,it was so fun and maybe that's why she's happy
2C,S007,F,8,6,11,Megan,owls,so he knows about owls too,sad,his best friend may know what's making him sad and know how to help him,sad,that's what very good friends do,sad,he's her son,fact,she doesn't want to know how she's feeling and she's not his friend,happy,she may not know about the rabbits,rabbits,most share when they are happy,rabbits,that one may not know about the rabbits,fact,she may like raccoons and she may not know about the raccoons,fact,she may know she's happy and Jaime may not know about the lizards
2D,S008,F,6,1,21,Megan,owls,maybe he is,owls,he will be happy,owls,it's good to tell about the friend,fact,it's good for him to do that,fact,it's good for them,rabbits,because it's really good and maybe the rabbits in school and it's good to eat carrots,happy,being happy is good,happy,maybe when she's swimming in the pool she'll be happy,fact,she's learning and she's happy but sometimes sad at work,fact,she's learning about that
2A,S009,F,7,8,6,Megan,sad,so his friend can cheer him up,sad,to cheer him up,owls,"just because if he tells them that he's feeling sad today, it doesn't really get them somewhere else",sad,just for him to know,sad,just to cheer him up,happy,she might also feel happy,happy,so she knows,happy,"if the other person was sad, she could cheer him up",fact,she tells her daughter just what she learned,happy,idk
2B,S010,F,9,7,17,Megan,owls,"if he told that he was feeling sad, maybe he could tell his super close best friend",sad,his super close best friend knows him a lot and he will make Skylar feel better,owls,so when they start talking maybe they start more about different stuff and maybe they've become best friends,sad,he'll maybe say me too and they started comforting each other and makeing each other feel better,fact,because it's [not?] Skylar's mom and if she tells that she's sad then she couldn't do anything about it because he's not an adult and he cannot do much,rabbits,he asked,happy,she asked how was school today and that was the closest answer,happy,they would quicker turn best friends,fact,they're both happy and they share the other thing,happy,"if she told her the fact, then probably only her mom would tell the fact and her friend's mom would tell her that she's happy today"
2C,S011,F,8,0,29,Megan,owls,the other best friend is closer to him so he will talk about the owls,sad,he was sad too so he was sad,sad,he wants to be super close friends with the other person,sad,she's not that sad,sad,because she was really sad,happy,because she was happier,rabbits,because she was happy and she still loved the rabits,happy,because she thoughtthe other friend was happy too,fact,becuase she was not that happy,happy,because she's happier
2D,S012,M,7,2,24,Megan,owls,he will feel embarassed ,owls,because he will feel embarrassed,owls,maybe he would want them to know that,fact,maybe she was wanting to tell that fact,fact,because she may not have seen that he's sad and she is wanting to tell that fact,rabbits,maybe he's in a differen class than him and maybe he didn't learn that today,rabbits,he doesn't go to school and did learn that day,rabbits,she's really excited that she learned that,fact,maybe she really likes raccoons and maybe she just wanted to,fact,maybe kids need to learn more that gorwnups do
2A,S013,M,9,7,29,Megan,owls,he's not a super close friend,sad,because he's a super close best friend,sad,so he can become best friends with his somrmal friends so he shows he trusts them,sad,because that's her son,fact,he's not her son and it would be awkard to tell she's sad today,rabbits,he's just a normal friend and not a super best friend,happy,because it's a super close best friend and you trust them,happy,because she wants to be best friends with him and she needs to show that she trust him,happy,she's her daugther and she's super close to her,fact,she's not super close to her
2B,S014,M,7,4,11,Megan,owls,idk,owls,idk,owls,idk,fact,idk,fact,idk,rabbits,she already sees her smile,rabbits,same thing,rabbits,same thing,fact,same,fact,"idk, I think the same thing"
2C,S015,F,6,4,16,Megan,sad,he had a really bad day,sad,he had a really sad day,sad,because he had a bad day,fact,they are super cool,fact,geese are super cool,rabbits,they are super cute and chubby,rabbits,they're so cute,rabbits,they're so chubby,fact,they're super cool,fact,lizards are cool
2D,S016,F,6,11,5,Megan,sad,so he can cheer him up,owls,because he wants to know why it's scary,owls,he doesn't want to cry it will make his friend very sad,fact,she want's to let her chilren know more,sad,she wants to be the same as him,happy,because he wants to know his feelings,rabbits,because he wants his friends to learn about it too,rabbits,he want to know more,happy,she wants to smiile so Jamie can be happy also,fact,she wants to help the kids know the lizards
2A,S017,F,9,2,14,Megan,owls,they are not close,sad,he's super close,sad,to try to become a friend,sad,he's known her his entire life,fact,he's not close to her,rabbits,she wanted her friend to be a little smarter,rabbits,he likes them,happy,just because she wants to,happy,they know each other really well,happy,just to make her happy
2B,S018,M,7,3,14,Megan,sad,because she didn't want to keep it a secret,owls,they want to keep it,sad,he didn't want to keep it still a secret to himself,sad,she didn't want to keep it a secret,sad,she didn't want to keep it a secret to hreself,rabbits,she didn't want to tell her she was happy,happy,she wants to,rabbits,because she loves rabbits,fact,she teaches her daugther,fact,because she didn't want to keep it a secret
2C,S019,F,6,6,27,Megan,sad,his brain told him to,sad,I chose it,owls,he tells about owls because he likes owls,sad,idk,fact,idk,rabbits,idk,happy,idk,rabbits,because she will,fact,idk,happy,becuase they both have a birthday today
2D,S020,F,8,9,2,Megan,sad,because he thinks that owls wasn't a good story to tell his friend,owls,because he doesn't want his friend to know he was sad,owls,because he didn't want to be friends while feeling sad,fact,she wouldn't want her son to feel bad that she's sad,fact,she's not related to Skylar,rabbits,because her and her friend aren't really close,happy,because Taylor asked how was school,happy,because she told her other super best friend about her feeling happy,happy,because she's known her daughter for awhile,happy,because they are both happy
