"","Version","ID","Sex","AgeYears","AgeMonths","AgeDays","Experimenter","character_emotion","Circles_fact_s","Circles_emo_s","Better_Friend_sad","Ice_Cream_sad","Candy_sad","New_Friend_sad","Mom_sad","FriendMom_sad","character_emotion.1","Circles_fact_h","Circles_emo_h","Better_Friend_happy","Ice_Cream_happy","Candy_happy","New_Friend_happy","Mom_happy","FriendMom_happy","answer","Strangers"
"1","A","S001","F",8,0,14,"Megan","Orin",6,5,1,1,0,2,1,2,"Cameron",5,5,0,1,0,2,2,1,"Friends",4
"2","B","S002","F",8,4,22,"Megan","Orin",5,3,1,1,0,2,1,1,"Cameron",3,5,1,1,0,2,1,1,"Friends",4
"3","A","S003","M",7,7,28,"Megan","Orin",5,5,1,1,0,1,2,1,"Cameron",4,5,1,0,1,2,1,2,"Friends",4
"4","B","S004","M",6,10,23,"Megan","Orin",6,3,1,1,1,1,2,1,"Cameron",6,3,1,1,1,2,2,2,"Friends",3
"5","A","S005","F",9,10,17,"Megan","Orin",5,4,1,1,0,1,2,2,"Cameron",5,4,1,1,0,1,2,2,"Friends",5
"6","B","S006","F",7,11,25,"Megan","Orin",5,5,1,0,0,1,2,2,"Cameron",5,4,0,0,0,1,2,1,"Friends",5
"7","A","S007","F",7,11,0,"Megan","Orin",6,1,1,1,1,2,2,1,"Cameron",4,2,1,0,1,1,2,2,"Friends",2
"8","B","S008","F",8,4,22,"Megan","Orin",3,2,1,1,1,2,2,2,"Cameron",3,2,1,1,1,2,2,2,"Friends",2
"9","A","S009","M",9,9,6,"Megan","Orin",4,4,1,0,1,1,2,1,"Cameron",3,4,0,1,0,2,1,1,"Friends",3
"10","B","S010","F",8,1,5,"Megan","Orin",5,5,0,0,1,1,2,1,"Cameron",5,5,1,0,0,2,1,2,"Friends",5
"11","A","S011","M",7,1,9,"Megan","Orin",2,4,0,0,0,2,2,1,"Cameron",4,3,1,1,0,2,1,1,"Friends",3
"12","B","S012","M",8,5,21,"Megan","Orin",4,1,1,1,0,2,1,1,"Cameron",3,1,1,1,0,2,1,1,"Friends",4
"13","C","S013","M",6,7,2,"Megan","Orin",4,4,1,0,1,1,2,1,"Cameron",4,4,1,0,1,1,2,1,"Friends",3
"14","D","S014","M",6,9,12,"Megan","Orin",6,6,1,1,1,2,1,2,"Cameron",6,6,0,0,0,2,2,2,"Friends",1
"15","C","S015","M",8,8,5,"Megan","Orin",4,4,1,1,0,2,2,1,"Cameron",5,4,1,1,0,1,1,2,"Friends",4
"16","D","S016","M",7,2,10,"Megan","Orin",6,5,0,1,0,2,2,2,"Cameron",4,5,0,0,0,1,1,2,"Friends",5
"17","C","S017","M",6,8,2,"Megan","Orin",6,6,1,1,0,2,2,1,"Cameron",5,6,0,0,1,2,2,1,"Friends",2
"18","D","S018","M",8,1,26,"Megan","Orin",5,4,1,1,1,1,2,1,"Cameron",4,5,1,1,1,2,2,1,"Friends",4
"19","C","S019","M",7,6,4,"Megan","Orin",4,6,0,1,1,2,2,1,"Cameron",1,1,0,1,0,2,2,2,"Friends",1
"20","D","S020","F",9,1,12,"Megan","Orin",4,2,1,1,0,2,2,2,"Cameron",5,5,0,0,1,1,2,1,"Friends",1
