Version,ID,Sex,AgeYears,AgeMonths,AgeDays,Mom_and_Child,Strangers,Friends,Circles_fact_s,Circles_emo_s,Better_Friend_sad,Ice_Cream_sad,Candy_sad,New_Friend_sad,Mom_sad,FriendMom_sad,Circles_fact_h,Circles_emo_h,Better_Friend_happy,Ice_Cream_happy,Candy_happy,New_Friend_happy,Mom_happy,FriendMom_happy
A,S001,F,8,0,14,3,6,4,6,5,1,1,0,1,0,1,5,5,0,1,0,1,1,0
B,S002,F,8,4,22,2,6,4,5,3,1,1,0,1,0,0,3,5,1,1,0,1,0,0
A,S003,M,7,7,28,3,6,4,5,5,1,1,0,0,1,0,4,5,1,0,1,1,0,1
B,S004,M,6,10,23,1,6,3,6,3,1,1,1,0,1,0,6,3,1,1,1,1,1,1
A,S005,F,9,10,17,1,6,5,5,4,1,1,0,0,1,1,5,4,1,1,0,0,1,1
B,S006,F,7,11,25,1,6,5,5,5,1,0,0,0,1,1,5,4,0,0,0,0,1,0
A,S007,F,7,11,0,4,6,2,6,1,1,1,1,1,1,0,4,2,1,0,1,0,1,1
B,S008,F,8,4,22,1,6,2,3,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1
A,S009,M,9,9,6,2,6,3,4,4,1,0,1,0,1,0,3,4,0,1,0,1,0,0
B,S010,F,8,1,5,4,6,5,5,5,0,0,1,0,1,0,5,5,1,0,0,1,0,1
A,S011,M,7,1,9,2,5,3,2,4,0,0,0,1,1,0,4,3,1,1,0,1,0,0
B,S012,M,8,5,21,1,6,4,4,1,1,1,0,1,0,0,3,1,1,1,0,1,0,0
C,S013,M,6,7,2,4,6,3,4,4,1,0,1,0,1,0,4,4,1,0,1,0,1,0
D,S014,M,6,9,12,4,6,1,6,6,1,1,1,1,0,1,6,6,0,0,0,1,1,1
C,S015,M,8,8,5,3,6,4,4,4,1,1,0,1,1,0,5,4,1,1,0,0,0,1
D,S016,M,7,2,10,1,6,5,6,5,0,1,0,1,1,1,4,5,0,0,0,0,0,1
C,S017,M,6,8,2,5,6,2,6,6,1,1,0,1,1,0,5,6,0,0,1,1,1,0
D,S018,M,8,1,26,1,6,4,5,4,1,1,1,0,1,0,4,5,1,1,1,1,1,0
C,S019,M,7,6,4,3,6,1,4,6,0,1,1,1,1,0,1,1,0,1,0,1,1,1
D,S020,F,9,1,12,4,6,1,4,2,1,1,0,1,1,1,5,5,0,0,1,0,1,0
C,S021,F,6,5,9,6,4,5,3,4,1,1,0,0,1,0,2,4,0,1,0,1,0,1
D,S022,F,6,5,9,1,6,5,2,6,0,0,0,0,0,0,1,4,0,0,0,0,0,1
C,S023,M,7,2,14,2,6,5,6,6,1,1,0,1,1,0,6,5,1,0,1,0,1,1
D,S024,F,6,9,12,1,6,5,5,4,1,1,1,0,1,0,4,5,0,0,0,1,1,0
A,S025,F,7,10,7,3,6,2,4,2,1,1,0,1,1,0,4,3,0,1,0,0,1,0
B,S026,M,6,0,15,6,5,4,1,2,0,0,0,0,0,0,6,5,0,1,0,1,0,1
C,S027,M,6,11,15,4,6,1,5,5,1,1,1,0,1,1,6,6,0,0,0,1,1,1
D,S028,F,7,6,27,1,6,3,4,5,0,1,0,0,1,0,4,5,0,0,0,1,0,1
A,S029,M,6,5,20,4,6,5,6,6,1,1,1,1,0,1,5,6,1,1,0,0,0,0
B,S030,M,7,1,26,3,6,5,6,5,0,1,1,1,1,0,3,1,0,1,1,1,0,1
C,S031,M,7,6,29,4,6,3,5,5,1,0,1,0,1,0,5,5,1,0,1,0,0,0
E,S032,M,8,11,11,6,6,1,2,2,1,1,0,0,0,0,3,2,1,1,1,0,1,0
G,S034,M,7,1,21,1,6,3,4,2,1,1,1,1,1,1,4,2,1,1,1,0,1,1
H,S035,M,9,1,20,4,6,5,5,4,1,0,0,0,1,0,4,5,1,0,0,0,1,1
E,S036,M,6,6,24,4,6,1,4,6,0,0,1,0,0,1,1,4,1,0,1,1,1,0
F,S037,M,8,4,2,2,6,4,5,6,1,0,1,0,0,0,5,5,1,0,1,1,0,0
G,S038,M,8,11,9,1,6,3,4,3,1,1,1,1,1,1,4,4,0,0,0,1,1,1
H,S039,M,7,4,24,4,6,3,6,6,1,1,1,1,1,0,6,6,1,1,1,1,0,0
E,S040,M,6,7,28,1,6,3,4,4,1,1,1,0,1,1,4,3,0,0,1,0,1,1
F,S041,F,8,3,30,2,6,3,3,1,1,0,1,0,1,0,2,2,0,0,1,1,1,0
G,S042,F,9,6,22,2,6,4,5,4,1,1,1,1,1,0,5,4,1,1,1,1,1,0
E,S044,F,9,9,18,3,6,4,5,4,1,1,1,1,1,1,4,4,1,1,1,1,1,1
F,S045,F,7,7,27,2,6,3,2,4,0,0,0,0,1,0,3,3,0,0,1,0,1,1
G,S046,F,8,2,8,2,6,4,4,3,1,1,0,1,1,1,5,4,0,0,1,0,0,0
H,S047,F,8,2,3,4,6,5,4,3,1,1,1,1,1,1,4,3,1,1,1,1,1,1
E,S048,M,9,7,14,3,6,5,5,4,1,1,1,1,1,0,5,5,1,0,1,0,0,0
F,S049,M,7,3,9,1,6,2,6,6,0,1,0,0,1,1,4,4,1,0,1,1,0,0
G,S050,M,7,1,5,1,6,3,3,4,1,1,1,0,0,1,3,3,1,1,1,0,0,1
H,S051,F,9,2,5,3,4,5,5,4,1,0,1,0,1,0,4,5,0,1,0,0,0,0
E,S052,M,9,6,13,5,6,4,6,5,1,1,1,1,1,0,6,5,1,1,1,1,0,0
F,S053,M,7,5,12,1,6,4,5,5,1,0,1,0,1,1,4,6,0,1,0,1,1,0
G,S054,M,8,5,22,5,6,2,5,3,1,1,1,1,1,1,1,2,0,0,0,1,1,1
H,S055,M,6,3,15,1,2,3,3,2,1,1,1,0,0,0,6,5,0,1,1,1,1,1
E,S056,M,6,2,13,1,6,3,5,6,0,1,0,0,0,0,6,6,0,0,1,0,0,0
F,S057,M,9,3,2,1,6,4,4,3,1,0,1,1,1,0,3,4,0,1,0,1,1,0
G,S058,F,7,6,1,5,6,3,5,5,0,0,1,1,0,1,5,5,0,0,1,0,0,1
H,S059,M,6,10,16,4,6,3,6,6,1,1,1,0,1,1,6,6,0,0,0,0,0,0
