ID,population,age,sex,measure,emotion,chose_emotion
A1_001,adult,NA,NA,better_friend,happy,1
A1_001,adult,NA,NA,better_friend,sad,1
A1_001,adult,NA,NA,candy,happy,0
A1_001,adult,NA,NA,candy,sad,1
A1_001,adult,NA,NA,ice_cream,happy,1
A1_001,adult,NA,NA,ice_cream,sad,1
A1_002,adult,NA,NA,better_friend,happy,0
A1_002,adult,NA,NA,better_friend,sad,1
A1_002,adult,NA,NA,candy,happy,1
A1_002,adult,NA,NA,candy,sad,1
A1_002,adult,NA,NA,ice_cream,happy,0
A1_002,adult,NA,NA,ice_cream,sad,1
A1_003,adult,NA,NA,better_friend,happy,1
A1_003,adult,NA,NA,better_friend,sad,1
A1_003,adult,NA,NA,candy,happy,0
A1_003,adult,NA,NA,candy,sad,0
A1_003,adult,NA,NA,ice_cream,happy,1
A1_003,adult,NA,NA,ice_cream,sad,1
A1_004,adult,NA,NA,better_friend,happy,1
A1_004,adult,NA,NA,better_friend,sad,1
A1_004,adult,NA,NA,candy,happy,1
A1_004,adult,NA,NA,candy,sad,0
A1_004,adult,NA,NA,ice_cream,happy,1
A1_004,adult,NA,NA,ice_cream,sad,1
A1_005,adult,NA,NA,better_friend,happy,1
A1_005,adult,NA,NA,better_friend,sad,1
A1_005,adult,NA,NA,candy,happy,0
A1_005,adult,NA,NA,candy,sad,1
A1_005,adult,NA,NA,ice_cream,happy,1
A1_005,adult,NA,NA,ice_cream,sad,1
A1_006,adult,NA,NA,better_friend,happy,1
A1_006,adult,NA,NA,better_friend,sad,1
A1_006,adult,NA,NA,candy,happy,1
A1_006,adult,NA,NA,candy,sad,0
A1_006,adult,NA,NA,ice_cream,happy,1
A1_006,adult,NA,NA,ice_cream,sad,1
A1_007,adult,NA,NA,better_friend,happy,1
A1_007,adult,NA,NA,better_friend,sad,1
A1_007,adult,NA,NA,candy,happy,0
A1_007,adult,NA,NA,candy,sad,1
A1_007,adult,NA,NA,ice_cream,happy,1
A1_007,adult,NA,NA,ice_cream,sad,1
A1_008,adult,NA,NA,better_friend,happy,1
A1_008,adult,NA,NA,better_friend,sad,1
A1_008,adult,NA,NA,candy,happy,0
A1_008,adult,NA,NA,candy,sad,1
A1_008,adult,NA,NA,ice_cream,happy,1
A1_008,adult,NA,NA,ice_cream,sad,1
A1_009,adult,NA,NA,better_friend,happy,1
A1_009,adult,NA,NA,better_friend,sad,1
A1_009,adult,NA,NA,candy,happy,0
A1_009,adult,NA,NA,candy,sad,1
A1_009,adult,NA,NA,ice_cream,happy,1
A1_009,adult,NA,NA,ice_cream,sad,1
A1_010,adult,NA,NA,better_friend,happy,1
A1_010,adult,NA,NA,better_friend,sad,1
A1_010,adult,NA,NA,candy,happy,0
A1_010,adult,NA,NA,candy,sad,1
A1_010,adult,NA,NA,ice_cream,happy,1
A1_010,adult,NA,NA,ice_cream,sad,1
A1_011,adult,NA,NA,better_friend,happy,0
A1_011,adult,NA,NA,better_friend,sad,1
A1_011,adult,NA,NA,candy,happy,1
A1_011,adult,NA,NA,candy,sad,1
A1_011,adult,NA,NA,ice_cream,happy,0
A1_011,adult,NA,NA,ice_cream,sad,1
A1_012,adult,NA,NA,better_friend,happy,1
A1_012,adult,NA,NA,better_friend,sad,1
A1_012,adult,NA,NA,candy,happy,0
A1_012,adult,NA,NA,candy,sad,0
A1_012,adult,NA,NA,ice_cream,happy,1
A1_012,adult,NA,NA,ice_cream,sad,0
A1_013,adult,NA,NA,better_friend,happy,1
A1_013,adult,NA,NA,better_friend,sad,1
A1_013,adult,NA,NA,candy,happy,0
A1_013,adult,NA,NA,candy,sad,1
A1_013,adult,NA,NA,ice_cream,happy,1
A1_013,adult,NA,NA,ice_cream,sad,1
A1_014,adult,NA,NA,better_friend,happy,0
A1_014,adult,NA,NA,better_friend,sad,1
A1_014,adult,NA,NA,candy,happy,1
A1_014,adult,NA,NA,candy,sad,0
A1_014,adult,NA,NA,ice_cream,happy,0
A1_014,adult,NA,NA,ice_cream,sad,1
A1_015,adult,NA,NA,better_friend,happy,1
A1_015,adult,NA,NA,better_friend,sad,1
A1_015,adult,NA,NA,candy,happy,0
A1_015,adult,NA,NA,candy,sad,1
A1_015,adult,NA,NA,ice_cream,happy,1
A1_015,adult,NA,NA,ice_cream,sad,1
A1_016,adult,NA,NA,better_friend,happy,1
A1_016,adult,NA,NA,better_friend,sad,1
A1_016,adult,NA,NA,candy,happy,1
