ID,population,age,sex,measure,emotion,chose_emotion
S001,child,8.038356164383561,F,better_friend,happy,0
S001,child,8.038356164383561,F,better_friend,sad,1
S001,child,8.038356164383561,F,candy,happy,0
S001,child,8.038356164383561,F,candy,sad,0
S001,child,8.038356164383561,F,ice_cream,happy,1
S001,child,8.038356164383561,F,ice_cream,sad,1
S002,child,8.393607305936074,F,better_friend,happy,1
S002,child,8.393607305936074,F,better_friend,sad,1
S002,child,8.393607305936074,F,candy,happy,0
S002,child,8.393607305936074,F,candy,sad,0
S002,child,8.393607305936074,F,ice_cream,happy,1
S002,child,8.393607305936074,F,ice_cream,sad,1
S003,child,7.6600456621004565,M,better_friend,happy,1
S003,child,7.6600456621004565,M,better_friend,sad,1
S003,child,7.6600456621004565,M,candy,happy,1
S003,child,7.6600456621004565,M,candy,sad,0
S003,child,7.6600456621004565,M,ice_cream,happy,0
S003,child,7.6600456621004565,M,ice_cream,sad,1
S004,child,6.89634703196347,M,better_friend,happy,1
S004,child,6.89634703196347,M,better_friend,sad,1
S004,child,6.89634703196347,M,candy,happy,1
S004,child,6.89634703196347,M,candy,sad,1
S004,child,6.89634703196347,M,ice_cream,happy,1
S004,child,6.89634703196347,M,ice_cream,sad,1
S005,child,9.879908675799088,F,better_friend,happy,1
S005,child,9.879908675799088,F,better_friend,sad,1
S005,child,9.879908675799088,F,candy,happy,0
S005,child,9.879908675799088,F,candy,sad,0
S005,child,9.879908675799088,F,ice_cream,happy,1
S005,child,9.879908675799088,F,ice_cream,sad,1
S006,child,7.985159817351598,F,better_friend,happy,0
S006,child,7.985159817351598,F,better_friend,sad,1
S006,child,7.985159817351598,F,candy,happy,0
S006,child,7.985159817351598,F,candy,sad,0
S006,child,7.985159817351598,F,ice_cream,happy,0
S006,child,7.985159817351598,F,ice_cream,sad,0
S007,child,7.916666666666667,F,better_friend,happy,1
S007,child,7.916666666666667,F,better_friend,sad,1
S007,child,7.916666666666667,F,candy,happy,1
S007,child,7.916666666666667,F,candy,sad,1
S007,child,7.916666666666667,F,ice_cream,happy,0
S007,child,7.916666666666667,F,ice_cream,sad,1
S008,child,8.393607305936074,F,better_friend,happy,1
S008,child,8.393607305936074,F,better_friend,sad,1
S008,child,8.393607305936074,F,candy,happy,1
S008,child,8.393607305936074,F,candy,sad,1
S008,child,8.393607305936074,F,ice_cream,happy,1
S008,child,8.393607305936074,F,ice_cream,sad,1
S009,child,9.766438356164384,M,better_friend,happy,0
S009,child,9.766438356164384,M,better_friend,sad,1
S009,child,9.766438356164384,M,candy,happy,0
S009,child,9.766438356164384,M,candy,sad,1
S009,child,9.766438356164384,M,ice_cream,happy,1
S009,child,9.766438356164384,M,ice_cream,sad,0
S010,child,8.09703196347032,F,better_friend,happy,1
S010,child,8.09703196347032,F,better_friend,sad,0
S010,child,8.09703196347032,F,candy,happy,0
S010,child,8.09703196347032,F,candy,sad,1
S010,child,8.09703196347032,F,ice_cream,happy,0
S010,child,8.09703196347032,F,ice_cream,sad,0
S011,child,7.107990867579908,M,better_friend,happy,1
S011,child,7.107990867579908,M,better_friend,sad,0
S011,child,7.107990867579908,M,candy,happy,0
S011,child,7.107990867579908,M,candy,sad,0
S011,child,7.107990867579908,M,ice_cream,happy,1
S011,child,7.107990867579908,M,ice_cream,sad,0
S012,child,8.474200913242008,M,better_friend,happy,1
S012,child,8.474200913242008,M,better_friend,sad,1
S012,child,8.474200913242008,M,candy,happy,0
S012,child,8.474200913242008,M,candy,sad,0
S012,child,8.474200913242008,M,ice_cream,happy,1
S012,child,8.474200913242008,M,ice_cream,sad,1
S013,child,6.588812785388128,M,better_friend,happy,1
S013,child,6.588812785388128,M,better_friend,sad,1
S013,child,6.588812785388128,M,candy,happy,1
S013,child,6.588812785388128,M,candy,sad,1
S013,child,6.588812785388128,M,ice_cream,happy,0
S013,child,6.588812785388128,M,ice_cream,sad,0
S014,child,6.782876712328767,M,better_friend,happy,0
S014,child,6.782876712328767,M,better_friend,sad,1
S014,child,6.782876712328767,M,candy,happy,0
S014,child,6.782876712328767,M,candy,sad,1
S014,child,6.782876712328767,M,ice_cream,happy,0
S014,child,6.782876712328767,M,ice_cream,sad,1
S015,child,8.680365296803652,M,better_friend,happy,1
S015,child,8.680365296803652,M,better_friend,sad,1
S015,child,8.680365296803652,M,candy,happy,0
S015,child,8.680365296803652,M,candy,sad,0
S015,child,8.680365296803652,M,ice_cream,happy,1
S015,child,8.680365296803652,M,ice_cream,sad,1
S016,child,7.19406392694064,M,better_friend,happy,0
S016,child,7.19406392694064,M,better_friend,sad,0
S016,child,7.19406392694064,M,candy,happy,0
S016,child,7.19406392694064,M,candy,sad,0
S016,child,7.19406392694064,M,ice_cream,happy,0
S016,child,7.19406392694064,M,ice_cream,sad,1
S017,child,6.672146118721462,M,better_friend,happy,0
S017,child,6.672146118721462,M,better_friend,sad,1
S017,child,6.672146118721462,M,candy,happy,1
S017,child,6.672146118721462,M,candy,sad,0
S017,child,6.672146118721462,M,ice_cream,happy,0
S017,child,6.672146118721462,M,ice_cream,sad,1
S018,child,8.154566210045664,M,better_friend,happy,1
S018,child,8.154566210045664,M,better_friend,sad,1
S018,child,8.154566210045664,M,candy,happy,1
S018,child,8.154566210045664,M,candy,sad,1
S018,child,8.154566210045664,M,ice_cream,happy,1
S018,child,8.154566210045664,M,ice_cream,sad,1
S019,child,7.510958904109589,M,better_friend,happy,0
S019,child,7.510958904109589,M,better_friend,sad,0
S019,child,7.510958904109589,M,candy,happy,0
S019,child,7.510958904109589,M,candy,sad,1
S019,child,7.510958904109589,M,ice_cream,happy,1
S019,child,7.510958904109589,M,ice_cream,sad,1
S020,child,9.1162100456621,F,better_friend,happy,0
S020,child,9.1162100456621,F,better_friend,sad,1
S020,child,9.1162100456621,F,candy,happy,1
S020,child,9.1162100456621,F,candy,sad,0
S020,child,9.1162100456621,F,ice_cream,happy,0
S020,child,9.1162100456621,F,ice_cream,sad,1
S021,child,6.441324200913242,F,better_friend,happy,0
S021,child,6.441324200913242,F,better_friend,sad,1
S021,child,6.441324200913242,F,candy,happy,0
S021,child,6.441324200913242,F,candy,sad,0
S021,child,6.441324200913242,F,ice_cream,happy,1
S021,child,6.441324200913242,F,ice_cream,sad,1
S022,child,6.441324200913242,F,better_friend,happy,0
S022,child,6.441324200913242,F,better_friend,sad,0
S022,child,6.441324200913242,F,candy,happy,0
S022,child,6.441324200913242,F,candy,sad,0
S022,child,6.441324200913242,F,ice_cream,happy,0
S022,child,6.441324200913242,F,ice_cream,sad,0
S023,child,7.205022831050228,M,better_friend,happy,1
S023,child,7.205022831050228,M,better_friend,sad,1
S023,child,7.205022831050228,M,candy,happy,1
S023,child,7.205022831050228,M,candy,sad,0
S023,child,7.205022831050228,M,ice_cream,happy,0
S023,child,7.205022831050228,M,ice_cream,sad,1
S024,child,6.782876712328767,F,better_friend,happy,0
S024,child,6.782876712328767,F,better_friend,sad,1
S024,child,6.782876712328767,F,candy,happy,0
S024,child,6.782876712328767,F,candy,sad,1
S024,child,6.782876712328767,F,ice_cream,happy,0
S024,child,6.782876712328767,F,ice_cream,sad,1
S025,child,7.852511415525114,F,better_friend,happy,0
S025,child,7.852511415525114,F,better_friend,sad,1
S025,child,7.852511415525114,F,candy,happy,0
S025,child,7.852511415525114,F,candy,sad,0
S025,child,7.852511415525114,F,ice_cream,happy,1
S025,child,7.852511415525114,F,ice_cream,sad,1
S026,child,6.041095890410959,M,better_friend,happy,0
S026,child,6.041095890410959,M,better_friend,sad,0
S026,child,6.041095890410959,M,candy,happy,0
S026,child,6.041095890410959,M,candy,sad,0
S026,child,6.041095890410959,M,ice_cream,happy,1
S026,child,6.041095890410959,M,ice_cream,sad,0
S027,child,6.957762557077626,M,better_friend,happy,0
S027,child,6.957762557077626,M,better_friend,sad,1
S027,child,6.957762557077626,M,candy,happy,0
S027,child,6.957762557077626,M,candy,sad,1
S027,child,6.957762557077626,M,ice_cream,happy,0
S027,child,6.957762557077626,M,ice_cream,sad,1
S028,child,7.573972602739726,F,better_friend,happy,0
S028,child,7.573972602739726,F,better_friend,sad,0
S028,child,7.573972602739726,F,candy,happy,0
S028,child,7.573972602739726,F,candy,sad,0
S028,child,7.573972602739726,F,ice_cream,happy,0
S028,child,7.573972602739726,F,ice_cream,sad,1
S029,child,6.471461187214612,M,better_friend,happy,1
S029,child,6.471461187214612,M,better_friend,sad,1
S029,child,6.471461187214612,M,candy,happy,0
S029,child,6.471461187214612,M,candy,sad,1
S029,child,6.471461187214612,M,ice_cream,happy,1
S029,child,6.471461187214612,M,ice_cream,sad,1
S030,child,7.154566210045662,M,better_friend,happy,0
S030,child,7.154566210045662,M,better_friend,sad,0
S030,child,7.154566210045662,M,candy,happy,1
S030,child,7.154566210045662,M,candy,sad,1
S030,child,7.154566210045662,M,ice_cream,happy,1
S030,child,7.154566210045662,M,ice_cream,sad,1
S031,child,7.579452054794521,M,better_friend,happy,1
S031,child,7.579452054794521,M,better_friend,sad,1
S031,child,7.579452054794521,M,candy,happy,1
S031,child,7.579452054794521,M,candy,sad,1
S031,child,7.579452054794521,M,ice_cream,happy,0
S031,child,7.579452054794521,M,ice_cream,sad,0
S032,child,8.946803652968036,M,better_friend,happy,1
S032,child,8.946803652968036,M,better_friend,sad,1
S032,child,8.946803652968036,M,candy,happy,1
S032,child,8.946803652968036,M,candy,sad,0
S032,child,8.946803652968036,M,ice_cream,happy,1
S032,child,8.946803652968036,M,ice_cream,sad,1
S034,child,7.140867579908676,M,better_friend,happy,1
S034,child,7.140867579908676,M,better_friend,sad,1
S034,child,7.140867579908676,M,candy,happy,1
S034,child,7.140867579908676,M,candy,sad,1
S034,child,7.140867579908676,M,ice_cream,happy,1
S034,child,7.140867579908676,M,ice_cream,sad,1
S035,child,9.13812785388128,M,better_friend,happy,1
S035,child,9.13812785388128,M,better_friend,sad,1
S035,child,9.13812785388128,M,candy,happy,0
S035,child,9.13812785388128,M,candy,sad,0
S035,child,9.13812785388128,M,ice_cream,happy,0
S035,child,9.13812785388128,M,ice_cream,sad,0
S036,child,6.565753424657534,M,better_friend,happy,1
S036,child,6.565753424657534,M,better_friend,sad,0
S036,child,6.565753424657534,M,candy,happy,1
S036,child,6.565753424657534,M,candy,sad,1
S036,child,6.565753424657534,M,ice_cream,happy,0
S036,child,6.565753424657534,M,ice_cream,sad,0
S037,child,8.338812785388129,M,better_friend,happy,1
S037,child,8.338812785388129,M,better_friend,sad,1
S037,child,8.338812785388129,M,candy,happy,1
S037,child,8.338812785388129,M,candy,sad,1
S037,child,8.338812785388129,M,ice_cream,happy,0
S037,child,8.338812785388129,M,ice_cream,sad,0
S038,child,8.941324200913241,M,better_friend,happy,0
S038,child,8.941324200913241,M,better_friend,sad,1
S038,child,8.941324200913241,M,candy,happy,0
S038,child,8.941324200913241,M,candy,sad,1
S038,child,8.941324200913241,M,ice_cream,happy,0
S038,child,8.941324200913241,M,ice_cream,sad,1
S039,child,7.399086757990867,M,better_friend,happy,1
S039,child,7.399086757990867,M,better_friend,sad,1
S039,child,7.399086757990867,M,candy,happy,1
S039,child,7.399086757990867,M,candy,sad,1
S039,child,7.399086757990867,M,ice_cream,happy,1
S039,child,7.399086757990867,M,ice_cream,sad,1
S040,child,6.6600456621004565,M,better_friend,happy,0
S040,child,6.6600456621004565,M,better_friend,sad,1
S040,child,6.6600456621004565,M,candy,happy,1
S040,child,6.6600456621004565,M,candy,sad,1
S040,child,6.6600456621004565,M,ice_cream,happy,0
S040,child,6.6600456621004565,M,ice_cream,sad,1
