ID,population,age,sex,relationship,emotion,chose_emotion
S001,child,8.038356164383561,F,friendmom,happy,0
S001,child,8.038356164383561,F,friendmom,sad,1
S001,child,8.038356164383561,F,mom,happy,1
S001,child,8.038356164383561,F,mom,sad,0
S002,child,8.393607305936074,F,friendmom,happy,0
S002,child,8.393607305936074,F,friendmom,sad,0
S002,child,8.393607305936074,F,mom,happy,0
S002,child,8.393607305936074,F,mom,sad,0
S003,child,7.6600456621004565,M,friendmom,happy,1
S003,child,7.6600456621004565,M,friendmom,sad,0
S003,child,7.6600456621004565,M,mom,happy,0
S003,child,7.6600456621004565,M,mom,sad,1
S004,child,6.89634703196347,M,friendmom,happy,1
S004,child,6.89634703196347,M,friendmom,sad,0
S004,child,6.89634703196347,M,mom,happy,1
S004,child,6.89634703196347,M,mom,sad,1
S005,child,9.879908675799088,F,friendmom,happy,1
S005,child,9.879908675799088,F,friendmom,sad,1
S005,child,9.879908675799088,F,mom,happy,1
S005,child,9.879908675799088,F,mom,sad,1
S006,child,7.985159817351598,F,friendmom,happy,0
S006,child,7.985159817351598,F,friendmom,sad,1
S006,child,7.985159817351598,F,mom,happy,1
S006,child,7.985159817351598,F,mom,sad,1
S007,child,7.916666666666667,F,friendmom,happy,1
S007,child,7.916666666666667,F,friendmom,sad,0
S007,child,7.916666666666667,F,mom,happy,1
S007,child,7.916666666666667,F,mom,sad,1
S008,child,8.393607305936074,F,friendmom,happy,1
S008,child,8.393607305936074,F,friendmom,sad,1
S008,child,8.393607305936074,F,mom,happy,1
S008,child,8.393607305936074,F,mom,sad,1
S009,child,9.766438356164384,M,friendmom,happy,0
S009,child,9.766438356164384,M,friendmom,sad,0
S009,child,9.766438356164384,M,mom,happy,0
S009,child,9.766438356164384,M,mom,sad,1
S010,child,8.09703196347032,F,friendmom,happy,1
S010,child,8.09703196347032,F,friendmom,sad,0
S010,child,8.09703196347032,F,mom,happy,0
S010,child,8.09703196347032,F,mom,sad,1
S011,child,7.107990867579908,M,friendmom,happy,0
S011,child,7.107990867579908,M,friendmom,sad,0
S011,child,7.107990867579908,M,mom,happy,0
S011,child,7.107990867579908,M,mom,sad,1
S012,child,8.474200913242008,M,friendmom,happy,0
S012,child,8.474200913242008,M,friendmom,sad,0
S012,child,8.474200913242008,M,mom,happy,0
S012,child,8.474200913242008,M,mom,sad,0
S013,child,6.588812785388128,M,friendmom,happy,0
S013,child,6.588812785388128,M,friendmom,sad,0
S013,child,6.588812785388128,M,mom,happy,1
S013,child,6.588812785388128,M,mom,sad,1
S014,child,6.782876712328767,M,friendmom,happy,1
S014,child,6.782876712328767,M,friendmom,sad,1
S014,child,6.782876712328767,M,mom,happy,1
S014,child,6.782876712328767,M,mom,sad,0
S015,child,8.680365296803652,M,friendmom,happy,1
S015,child,8.680365296803652,M,friendmom,sad,0
S015,child,8.680365296803652,M,mom,happy,0
S015,child,8.680365296803652,M,mom,sad,1
S016,child,7.19406392694064,M,friendmom,happy,1
S016,child,7.19406392694064,M,friendmom,sad,1
S016,child,7.19406392694064,M,mom,happy,0
S016,child,7.19406392694064,M,mom,sad,1
S017,child,6.672146118721462,M,friendmom,happy,0
S017,child,6.672146118721462,M,friendmom,sad,0
S017,child,6.672146118721462,M,mom,happy,1
S017,child,6.672146118721462,M,mom,sad,1
S018,child,8.154566210045664,M,friendmom,happy,0
S018,child,8.154566210045664,M,friendmom,sad,0
S018,child,8.154566210045664,M,mom,happy,1
S018,child,8.154566210045664,M,mom,sad,1
S019,child,7.510958904109589,M,friendmom,happy,1
S019,child,7.510958904109589,M,friendmom,sad,0
S019,child,7.510958904109589,M,mom,happy,1
S019,child,7.510958904109589,M,mom,sad,1
S020,child,9.1162100456621,F,friendmom,happy,0
S020,child,9.1162100456621,F,friendmom,sad,1
S020,child,9.1162100456621,F,mom,happy,1
S020,child,9.1162100456621,F,mom,sad,1
S021,child,6.441324200913242,F,friendmom,happy,1
S021,child,6.441324200913242,F,friendmom,sad,0
S021,child,6.441324200913242,F,mom,happy,0
S021,child,6.441324200913242,F,mom,sad,1
S022,child,6.441324200913242,F,friendmom,happy,1
S022,child,6.441324200913242,F,friendmom,sad,0
S022,child,6.441324200913242,F,mom,happy,0
S022,child,6.441324200913242,F,mom,sad,0
S023,child,7.205022831050228,M,friendmom,happy,1
S023,child,7.205022831050228,M,friendmom,sad,0
S023,child,7.205022831050228,M,mom,happy,1
S023,child,7.205022831050228,M,mom,sad,1
S024,child,6.782876712328767,F,friendmom,happy,0
S024,child,6.782876712328767,F,friendmom,sad,0
S024,child,6.782876712328767,F,mom,happy,1
S024,child,6.782876712328767,F,mom,sad,1
S025,child,7.852511415525114,F,friendmom,happy,0
S025,child,7.852511415525114,F,friendmom,sad,0
S025,child,7.852511415525114,F,mom,happy,1
S025,child,7.852511415525114,F,mom,sad,1
S026,child,6.041095890410959,M,friendmom,happy,1
S026,child,6.041095890410959,M,friendmom,sad,0
S026,child,6.041095890410959,M,mom,happy,0
S026,child,6.041095890410959,M,mom,sad,0
S027,child,6.957762557077626,M,friendmom,happy,1
S027,child,6.957762557077626,M,friendmom,sad,1
S027,child,6.957762557077626,M,mom,happy,1
S027,child,6.957762557077626,M,mom,sad,1
S028,child,7.573972602739726,F,friendmom,happy,1
S028,child,7.573972602739726,F,friendmom,sad,0
S028,child,7.573972602739726,F,mom,happy,0
S028,child,7.573972602739726,F,mom,sad,1
S029,child,6.471461187214612,M,friendmom,happy,0
S029,child,6.471461187214612,M,friendmom,sad,1
S029,child,6.471461187214612,M,mom,happy,0
S029,child,6.471461187214612,M,mom,sad,0
S030,child,7.154566210045662,M,friendmom,happy,1
S030,child,7.154566210045662,M,friendmom,sad,0
S030,child,7.154566210045662,M,mom,happy,0
S030,child,7.154566210045662,M,mom,sad,1
S031,child,7.579452054794521,M,friendmom,happy,0
S031,child,7.579452054794521,M,friendmom,sad,0
S031,child,7.579452054794521,M,mom,happy,0
S031,child,7.579452054794521,M,mom,sad,1
S032,child,8.946803652968036,M,friendmom,happy,0
S032,child,8.946803652968036,M,friendmom,sad,0
S032,child,8.946803652968036,M,mom,happy,1
S032,child,8.946803652968036,M,mom,sad,0
S034,child,7.140867579908676,M,friendmom,happy,1
S034,child,7.140867579908676,M,friendmom,sad,1
S034,child,7.140867579908676,M,mom,happy,1
S034,child,7.140867579908676,M,mom,sad,1
S035,child,9.13812785388128,M,friendmom,happy,1
S035,child,9.13812785388128,M,friendmom,sad,0
S035,child,9.13812785388128,M,mom,happy,1
S035,child,9.13812785388128,M,mom,sad,1
S036,child,6.565753424657534,M,friendmom,happy,0
S036,child,6.565753424657534,M,friendmom,sad,1
S036,child,6.565753424657534,M,mom,happy,1
S036,child,6.565753424657534,M,mom,sad,0
S037,child,8.338812785388129,M,friendmom,happy,0
S037,child,8.338812785388129,M,friendmom,sad,0
S037,child,8.338812785388129,M,mom,happy,0
S037,child,8.338812785388129,M,mom,sad,0
S038,child,8.941324200913241,M,friendmom,happy,1
S038,child,8.941324200913241,M,friendmom,sad,1
S038,child,8.941324200913241,M,mom,happy,1
S038,child,8.941324200913241,M,mom,sad,1
S039,child,7.399086757990867,M,friendmom,happy,0
S039,child,7.399086757990867,M,friendmom,sad,0
S039,child,7.399086757990867,M,mom,happy,0
S039,child,7.399086757990867,M,mom,sad,1
S040,child,6.6600456621004565,M,friendmom,happy,1
S040,child,6.6600456621004565,M,friendmom,sad,1
S040,child,6.6600456621004565,M,mom,happy,1
S040,child,6.6600456621004565,M,mom,sad,1
S041,child,8.332191780821917,F,friendmom,happy,0
S041,child,8.332191780821917,F,friendmom,sad,0
S041,child,8.332191780821917,F,mom,happy,1
S041,child,8.332191780821917,F,mom,sad,1
S042,child,9.56027397260274,F,friendmom,happy,0
S042,child,9.56027397260274,F,friendmom,sad,0
S042,child,9.56027397260274,F,mom,happy,1
S042,child,9.56027397260274,F,mom,sad,1
S044,child,9.79931506849315,F,friendmom,happy,1
S044,child,9.79931506849315,F,friendmom,sad,1
S044,child,9.79931506849315,F,mom,happy,1
S044,child,9.79931506849315,F,mom,sad,1
S045,child,7.657305936073059,F,friendmom,happy,1
S045,child,7.657305936073059,F,friendmom,sad,0
S045,child,7.657305936073059,F,mom,happy,1
S045,child,7.657305936073059,F,mom,sad,1
S046,child,8.188584474885845,F,friendmom,happy,0
S046,child,8.188584474885845,F,friendmom,sad,1
S046,child,8.188584474885845,F,mom,happy,0
S046,child,8.188584474885845,F,mom,sad,1
S047,child,8.174885844748857,F,friendmom,happy,1
S047,child,8.174885844748857,F,friendmom,sad,1
S047,child,8.174885844748857,F,mom,happy,1
S047,child,8.174885844748857,F,mom,sad,1
S048,child,9.621689497716895,M,friendmom,happy,0
S048,child,9.621689497716895,M,friendmom,sad,0
S048,child,9.621689497716895,M,mom,happy,0
S048,child,9.621689497716895,M,mom,sad,1
S049,child,7.274657534246575,M,friendmom,happy,0
S049,child,7.274657534246575,M,friendmom,sad,1
S049,child,7.274657534246575,M,mom,happy,0
S049,child,7.274657534246575,M,mom,sad,1
S050,child,7.097031963470319,M,friendmom,happy,1
S050,child,7.097031963470319,M,friendmom,sad,1
S050,child,7.097031963470319,M,mom,happy,0
S050,child,7.097031963470319,M,mom,sad,0
S051,child,9.180365296803652,F,friendmom,happy,0
S051,child,9.180365296803652,F,friendmom,sad,0
S051,child,9.180365296803652,F,mom,happy,0
S051,child,9.180365296803652,F,mom,sad,1
S052,child,9.535616438356165,M,friendmom,happy,0
S052,child,9.535616438356165,M,friendmom,sad,0
S052,child,9.535616438356165,M,mom,happy,0
S052,child,9.535616438356165,M,mom,sad,1
S053,child,7.449543378995434,M,friendmom,happy,0
S053,child,7.449543378995434,M,friendmom,sad,1
S053,child,7.449543378995434,M,mom,happy,1
S053,child,7.449543378995434,M,mom,sad,1
S054,child,8.476940639269406,M,friendmom,happy,1
S054,child,8.476940639269406,M,friendmom,sad,1
S054,child,8.476940639269406,M,mom,happy,1
S054,child,8.476940639269406,M,mom,sad,1
S055,child,6.291095890410959,M,friendmom,happy,1
S055,child,6.291095890410959,M,friendmom,sad,0
S055,child,6.291095890410959,M,mom,happy,1
S055,child,6.291095890410959,M,mom,sad,0
S056,child,6.202283105022832,M,friendmom,happy,0
S056,child,6.202283105022832,M,friendmom,sad,0
S056,child,6.202283105022832,M,mom,happy,0
S056,child,6.202283105022832,M,mom,sad,0
S057,child,9.255479452054795,M,friendmom,happy,0
S057,child,9.255479452054795,M,friendmom,sad,0
S057,child,9.255479452054795,M,mom,happy,1
S057,child,9.255479452054795,M,mom,sad,1
S058,child,7.502739726027397,F,friendmom,happy,1
S058,child,7.502739726027397,F,friendmom,sad,1
S058,child,7.502739726027397,F,mom,happy,0
S058,child,7.502739726027397,F,mom,sad,0
S059,child,6.877168949771689,M,friendmom,happy,0
S059,child,6.877168949771689,M,friendmom,sad,1
S059,child,6.877168949771689,M,mom,happy,0
S059,child,6.877168949771689,M,mom,sad,1
