ID,population,age,sex,relationship,emotion,chose_emotion
A2_001,adult,39,NA,friendmom,happy,0
A2_001,adult,39,NA,friendmom,sad,0
A2_001,adult,39,NA,mom,happy,0
A2_001,adult,39,NA,mom,sad,0
A2_002,adult,15,NA,friendmom,happy,0
A2_002,adult,15,NA,friendmom,sad,0
A2_002,adult,15,NA,mom,happy,0
A2_002,adult,15,NA,mom,sad,1
A2_003,adult,22,NA,friendmom,happy,0
A2_003,adult,22,NA,friendmom,sad,1
A2_003,adult,22,NA,mom,happy,0
A2_003,adult,22,NA,mom,sad,1
A2_004,adult,23,NA,friendmom,happy,0
A2_004,adult,23,NA,friendmom,sad,0
A2_004,adult,23,NA,mom,happy,0
A2_004,adult,23,NA,mom,sad,0
A2_005,adult,32,NA,friendmom,happy,0
A2_005,adult,32,NA,friendmom,sad,0
A2_005,adult,32,NA,mom,happy,0
A2_005,adult,32,NA,mom,sad,0
A2_006,adult,44,NA,friendmom,happy,1
A2_006,adult,44,NA,friendmom,sad,1
A2_006,adult,44,NA,mom,happy,0
A2_006,adult,44,NA,mom,sad,1
A2_007,adult,7,NA,friendmom,happy,0
A2_007,adult,7,NA,friendmom,sad,0
A2_007,adult,7,NA,mom,happy,0
A2_007,adult,7,NA,mom,sad,1
A2_008,adult,10,NA,friendmom,happy,0
A2_008,adult,10,NA,friendmom,sad,0
A2_008,adult,10,NA,mom,happy,0
A2_008,adult,10,NA,mom,sad,0
A2_009,adult,54,NA,friendmom,happy,0
A2_009,adult,54,NA,friendmom,sad,1
A2_009,adult,54,NA,mom,happy,1
A2_009,adult,54,NA,mom,sad,0
A2_010,adult,38,NA,friendmom,happy,0
A2_010,adult,38,NA,friendmom,sad,0
A2_010,adult,38,NA,mom,happy,0
A2_010,adult,38,NA,mom,sad,1
A2_011,adult,13,NA,friendmom,happy,0
A2_011,adult,13,NA,friendmom,sad,0
A2_011,adult,13,NA,mom,happy,0
A2_011,adult,13,NA,mom,sad,0
A2_012,adult,33,NA,friendmom,happy,1
A2_012,adult,33,NA,friendmom,sad,1
A2_012,adult,33,NA,mom,happy,1
A2_012,adult,33,NA,mom,sad,1
A2_013,adult,15,NA,friendmom,happy,0
A2_013,adult,15,NA,friendmom,sad,0
A2_013,adult,15,NA,mom,happy,1
A2_013,adult,15,NA,mom,sad,1
A2_014,adult,3,NA,friendmom,happy,1
A2_014,adult,3,NA,friendmom,sad,0
A2_014,adult,3,NA,mom,happy,1
A2_014,adult,3,NA,mom,sad,0
A2_015,adult,32,NA,friendmom,happy,0
A2_015,adult,32,NA,friendmom,sad,0
A2_015,adult,32,NA,mom,happy,1
A2_015,adult,32,NA,mom,sad,0
A2_016,adult,11,NA,friendmom,happy,0
A2_016,adult,11,NA,friendmom,sad,0
A2_016,adult,11,NA,mom,happy,1
A2_016,adult,11,NA,mom,sad,0
A2_017,adult,1,NA,friendmom,happy,0
A2_017,adult,1,NA,friendmom,sad,0
A2_017,adult,1,NA,mom,happy,0
A2_017,adult,1,NA,mom,sad,1
A2_018,adult,11,NA,friendmom,happy,1
A2_018,adult,11,NA,friendmom,sad,0
A2_018,adult,11,NA,mom,happy,1
A2_018,adult,11,NA,mom,sad,0
A2_019,adult,22,NA,friendmom,happy,0
A2_019,adult,22,NA,friendmom,sad,0
A2_019,adult,22,NA,mom,happy,0
A2_019,adult,22,NA,mom,sad,0
A2_020,adult,2,NA,friendmom,happy,1
A2_020,adult,2,NA,friendmom,sad,1
A2_020,adult,2,NA,mom,happy,1
A2_020,adult,2,NA,mom,sad,1
A2_021,adult,29,NA,friendmom,happy,1
A2_021,adult,29,NA,friendmom,sad,0
A2_021,adult,29,NA,mom,happy,1
A2_021,adult,29,NA,mom,sad,1
A2_022,adult,9,NA,friendmom,happy,0
A2_022,adult,9,NA,friendmom,sad,0
A2_022,adult,9,NA,mom,happy,0
A2_022,adult,9,NA,mom,sad,0
A2_023,adult,30,NA,friendmom,happy,0
A2_023,adult,30,NA,friendmom,sad,0
A2_023,adult,30,NA,mom,happy,0
A2_023,adult,30,NA,mom,sad,0
