ID,population,age,sex,relationship,emotion,chose_emotion
A2_001,adult,39,NA,bestfriend,happy,1
A2_001,adult,39,NA,bestfriend,sad,1
A2_001,adult,39,NA,friend,happy,0
A2_001,adult,39,NA,friend,sad,1
A2_002,adult,15,NA,bestfriend,happy,0
A2_002,adult,15,NA,bestfriend,sad,1
A2_002,adult,15,NA,friend,happy,0
A2_002,adult,15,NA,friend,sad,1
A2_003,adult,22,NA,bestfriend,happy,0
A2_003,adult,22,NA,bestfriend,sad,1
A2_003,adult,22,NA,friend,happy,0
A2_003,adult,22,NA,friend,sad,1
A2_004,adult,23,NA,bestfriend,happy,0
A2_004,adult,23,NA,bestfriend,sad,0
A2_004,adult,23,NA,friend,happy,0
A2_004,adult,23,NA,friend,sad,0
A2_005,adult,32,NA,bestfriend,happy,0
A2_005,adult,32,NA,bestfriend,sad,0
A2_005,adult,32,NA,friend,happy,0
A2_005,adult,32,NA,friend,sad,0
A2_006,adult,44,NA,bestfriend,happy,0
A2_006,adult,44,NA,bestfriend,sad,1
A2_006,adult,44,NA,friend,happy,1
A2_006,adult,44,NA,friend,sad,1
A2_007,adult,7,NA,bestfriend,happy,1
A2_007,adult,7,NA,bestfriend,sad,1
A2_007,adult,7,NA,friend,happy,1
A2_007,adult,7,NA,friend,sad,1
A2_008,adult,10,NA,bestfriend,happy,0
A2_008,adult,10,NA,bestfriend,sad,0
A2_008,adult,10,NA,friend,happy,0
A2_008,adult,10,NA,friend,sad,0
A2_009,adult,54,NA,bestfriend,happy,1
A2_009,adult,54,NA,bestfriend,sad,0
A2_009,adult,54,NA,friend,happy,1
A2_009,adult,54,NA,friend,sad,0
A2_010,adult,38,NA,bestfriend,happy,0
A2_010,adult,38,NA,bestfriend,sad,0
A2_010,adult,38,NA,friend,happy,0
A2_010,adult,38,NA,friend,sad,0
A2_011,adult,13,NA,bestfriend,happy,1
A2_011,adult,13,NA,bestfriend,sad,0
A2_011,adult,13,NA,friend,happy,0
A2_011,adult,13,NA,friend,sad,0
A2_012,adult,33,NA,bestfriend,happy,1
A2_012,adult,33,NA,bestfriend,sad,1
A2_012,adult,33,NA,friend,happy,1
A2_012,adult,33,NA,friend,sad,1
A2_013,adult,15,NA,bestfriend,happy,0
A2_013,adult,15,NA,bestfriend,sad,1
A2_013,adult,15,NA,friend,happy,0
