ID,population,age,sex,relationship,emotion,chose_emotion
S001,child,8.08607305936073,M,bestfriend,happy,1
S001,child,8.08607305936073,M,bestfriend,sad,1
S001,child,8.08607305936073,M,friend,happy,1
S001,child,8.08607305936073,M,friend,sad,1
S002,child,7.33607305936073,M,bestfriend,happy,0
S002,child,7.33607305936073,M,bestfriend,sad,0
S002,child,7.33607305936073,M,friend,happy,0
S002,child,7.33607305936073,M,friend,sad,1
S003,child,9.591552511415525,M,bestfriend,happy,1
S003,child,9.591552511415525,M,bestfriend,sad,1
S003,child,9.591552511415525,M,friend,happy,0
S003,child,9.591552511415525,M,friend,sad,1
S004,child,9.210502283105022,M,bestfriend,happy,1
S004,child,9.210502283105022,M,bestfriend,sad,1
S004,child,9.210502283105022,M,friend,happy,0
S004,child,9.210502283105022,M,friend,sad,0
S005,child,8.205022831050227,M,bestfriend,happy,1
S005,child,8.205022831050227,M,bestfriend,sad,1
S005,child,8.205022831050227,M,friend,happy,1
S005,child,8.205022831050227,M,friend,sad,0
S006,child,7.229680365296804,F,bestfriend,happy,1
S006,child,7.229680365296804,F,bestfriend,sad,1
S006,child,7.229680365296804,F,friend,happy,1
S006,child,7.229680365296804,F,friend,sad,1
S007,child,8.53013698630137,F,bestfriend,happy,0
S007,child,8.53013698630137,F,bestfriend,sad,1
S007,child,8.53013698630137,F,friend,happy,1
S007,child,8.53013698630137,F,friend,sad,0
S008,child,6.140867579908676,F,bestfriend,happy,1
S008,child,6.140867579908676,F,bestfriend,sad,0
S008,child,6.140867579908676,F,friend,happy,0
S008,child,6.140867579908676,F,friend,sad,0
S009,child,7.68310502283105,F,bestfriend,happy,1
S009,child,7.68310502283105,F,bestfriend,sad,1
S009,child,7.68310502283105,F,friend,happy,1
S009,child,7.68310502283105,F,friend,sad,1
S010,child,9.629908675799088,F,bestfriend,happy,1
S010,child,9.629908675799088,F,bestfriend,sad,1
S010,child,9.629908675799088,F,friend,happy,0
S010,child,9.629908675799088,F,friend,sad,0
S011,child,8.07945205479452,F,bestfriend,happy,0
S011,child,8.07945205479452,F,bestfriend,sad,1
S011,child,8.07945205479452,F,friend,happy,1
S011,child,8.07945205479452,F,friend,sad,0
S012,child,7.232420091324201,M,bestfriend,happy,0
S012,child,7.232420091324201,M,bestfriend,sad,0
S012,child,7.232420091324201,M,friend,happy,0
S012,child,7.232420091324201,M,friend,sad,0
S013,child,9.662785388127855,M,bestfriend,happy,1
S013,child,9.662785388127855,M,bestfriend,sad,1
S013,child,9.662785388127855,M,friend,happy,0
S013,child,9.662785388127855,M,friend,sad,0
S014,child,7.363470319634703,M,bestfriend,happy,0
S014,child,7.363470319634703,M,bestfriend,sad,0
S014,child,7.363470319634703,M,friend,happy,0
S014,child,7.363470319634703,M,friend,sad,0
S015,child,6.377168949771689,F,bestfriend,happy,0
S015,child,6.377168949771689,F,bestfriend,sad,1
S015,child,6.377168949771689,F,friend,happy,0
S015,child,6.377168949771689,F,friend,sad,1
S016,child,6.930365296803653,F,bestfriend,happy,0
S016,child,6.930365296803653,F,bestfriend,sad,0
S016,child,6.930365296803653,F,friend,happy,1
S016,child,6.930365296803653,F,friend,sad,1
S017,child,9.205022831050227,F,bestfriend,happy,0
S017,child,9.205022831050227,F,bestfriend,sad,1
S017,child,9.205022831050227,F,friend,happy,0
S017,child,9.205022831050227,F,friend,sad,0
S018,child,7.288356164383561,M,bestfriend,happy,1
S018,child,7.288356164383561,M,bestfriend,sad,0
S018,child,7.288356164383561,M,friend,happy,0
S018,child,7.288356164383561,M,friend,sad,1
S019,child,6.573972602739726,F,bestfriend,happy,1
S019,child,6.573972602739726,F,bestfriend,sad,1
S019,child,6.573972602739726,F,friend,happy,0
S019,child,6.573972602739726,F,friend,sad,1
S020,child,8.755479452054795,F,bestfriend,happy,1
S020,child,8.755479452054795,F,bestfriend,sad,0
S020,child,8.755479452054795,F,friend,happy,0
