ID,population,age,sex,measure,emotion,chose_emotion
A2_001,adult,39,NA,deepen,happy,0
A2_001,adult,39,NA,deepen,sad,0
A2_002,adult,15,NA,deepen,happy,0
A2_002,adult,15,NA,deepen,sad,0
A2_003,adult,22,NA,deepen,happy,0
A2_003,adult,22,NA,deepen,sad,0
A2_004,adult,23,NA,deepen,happy,1
A2_004,adult,23,NA,deepen,sad,0
A2_005,adult,32,NA,deepen,happy,0
A2_005,adult,32,NA,deepen,sad,0
A2_006,adult,44,NA,deepen,happy,0
A2_006,adult,44,NA,deepen,sad,0
A2_007,adult,7,NA,deepen,happy,0
A2_007,adult,7,NA,deepen,sad,0
A2_008,adult,10,NA,deepen,happy,0
A2_008,adult,10,NA,deepen,sad,0
A2_009,adult,54,NA,deepen,happy,1
A2_009,adult,54,NA,deepen,sad,0
A2_010,adult,38,NA,deepen,happy,0
A2_010,adult,38,NA,deepen,sad,0
A2_011,adult,13,NA,deepen,happy,0
A2_011,adult,13,NA,deepen,sad,0
A2_012,adult,33,NA,deepen,happy,1
A2_012,adult,33,NA,deepen,sad,1
A2_013,adult,15,NA,deepen,happy,1
A2_013,adult,15,NA,deepen,sad,0
A2_014,adult,3,NA,deepen,happy,0
A2_014,adult,3,NA,deepen,sad,0
A2_015,adult,32,NA,deepen,happy,0
A2_015,adult,32,NA,deepen,sad,0
A2_016,adult,11,NA,deepen,happy,0
A2_016,adult,11,NA,deepen,sad,0
A2_017,adult,1,NA,deepen,happy,1
A2_017,adult,1,NA,deepen,sad,1
A2_018,adult,11,NA,deepen,happy,1
A2_018,adult,11,NA,deepen,sad,0
A2_019,adult,22,NA,deepen,happy,0
A2_019,adult,22,NA,deepen,sad,0
A2_020,adult,2,NA,deepen,happy,0
A2_020,adult,2,NA,deepen,sad,0
A2_021,adult,29,NA,deepen,happy,1
A2_021,adult,29,NA,deepen,sad,0
A2_022,adult,9,NA,deepen,happy,0
A2_022,adult,9,NA,deepen,sad,0
A2_023,adult,30,NA,deepen,happy,0
A2_023,adult,30,NA,deepen,sad,0
A2_024,adult,11,NA,deepen,happy,0
A2_024,adult,11,NA,deepen,sad,0
A2_025,adult,56,NA,deepen,happy,0
A2_025,adult,56,NA,deepen,sad,1
A2_026,adult,30,NA,deepen,happy,1
A2_026,adult,30,NA,deepen,sad,1
A2_027,adult,6,NA,deepen,happy,0
A2_027,adult,6,NA,deepen,sad,0
A2_028,adult,15,NA,deepen,happy,0
A2_028,adult,15,NA,deepen,sad,0
A2_029,adult,64,NA,deepen,happy,0
A2_029,adult,64,NA,deepen,sad,0
A2_030,adult,12,NA,deepen,happy,1
A2_030,adult,12,NA,deepen,sad,0
A2_031,adult,11,NA,deepen,happy,0
A2_031,adult,11,NA,deepen,sad,0
A2_032,adult,17,NA,deepen,happy,1
A2_032,adult,17,NA,deepen,sad,0
A2_033,adult,16,NA,deepen,happy,1
A2_033,adult,16,NA,deepen,sad,0
A2_034,adult,14,NA,deepen,happy,0
A2_034,adult,14,NA,deepen,sad,0
A2_035,adult,23,NA,deepen,happy,0
A2_035,adult,23,NA,deepen,sad,0
A2_036,adult,24,NA,deepen,happy,0
A2_036,adult,24,NA,deepen,sad,1
A2_037,adult,15,NA,deepen,happy,0
A2_037,adult,15,NA,deepen,sad,0
A2_038,adult,34,NA,deepen,happy,1
A2_038,adult,34,NA,deepen,sad,0
A2_039,adult,51,NA,deepen,happy,0
A2_039,adult,51,NA,deepen,sad,0
A2_040,adult,26,NA,deepen,happy,1
A2_040,adult,26,NA,deepen,sad,0
A2_041,adult,42,NA,deepen,happy,1
A2_041,adult,42,NA,deepen,sad,0
A2_042,adult,30,NA,deepen,happy,0
A2_042,adult,30,NA,deepen,sad,1
A2_043,adult,48,NA,deepen,happy,0
A2_043,adult,48,NA,deepen,sad,0
A2_044,adult,21,NA,deepen,happy,1
A2_044,adult,21,NA,deepen,sad,1
A2_045,adult,32,NA,deepen,happy,1
A2_045,adult,32,NA,deepen,sad,0
A2_046,adult,9,NA,deepen,happy,0
A2_046,adult,9,NA,deepen,sad,0
A2_047,adult,33,NA,deepen,happy,0
A2_047,adult,33,NA,deepen,sad,0
A2_048,adult,9,NA,deepen,happy,0
A2_048,adult,9,NA,deepen,sad,0
A2_049,adult,8,NA,deepen,happy,0
A2_049,adult,8,NA,deepen,sad,1
