ID,population,age,sex,measure,emotion,chose_emotion
S001,child,8.038356164383561,F,create,happy,1
S001,child,8.038356164383561,F,create,sad,1
S002,child,8.393607305936074,F,create,happy,1
S002,child,8.393607305936074,F,create,sad,1
S003,child,7.6600456621004565,M,create,happy,1
S003,child,7.6600456621004565,M,create,sad,0
S004,child,6.89634703196347,M,create,happy,1
S004,child,6.89634703196347,M,create,sad,0
S005,child,9.879908675799088,F,create,happy,0
S005,child,9.879908675799088,F,create,sad,0
S006,child,7.985159817351598,F,create,happy,0
S006,child,7.985159817351598,F,create,sad,0
S007,child,7.916666666666667,F,create,happy,0
S007,child,7.916666666666667,F,create,sad,1
S008,child,8.393607305936074,F,create,happy,1
S008,child,8.393607305936074,F,create,sad,1
S009,child,9.766438356164384,M,create,happy,1
S009,child,9.766438356164384,M,create,sad,0
S010,child,8.09703196347032,F,create,happy,1
S010,child,8.09703196347032,F,create,sad,0
S011,child,7.107990867579908,M,create,happy,1
S011,child,7.107990867579908,M,create,sad,1
S012,child,8.474200913242008,M,create,happy,1
S012,child,8.474200913242008,M,create,sad,1
S013,child,6.588812785388128,M,create,happy,0
S013,child,6.588812785388128,M,create,sad,0
S014,child,6.782876712328767,M,create,happy,1
S014,child,6.782876712328767,M,create,sad,1
S015,child,8.680365296803652,M,create,happy,0
S015,child,8.680365296803652,M,create,sad,1
S016,child,7.19406392694064,M,create,happy,0
S016,child,7.19406392694064,M,create,sad,1
S017,child,6.672146118721462,M,create,happy,1
S017,child,6.672146118721462,M,create,sad,1
S018,child,8.154566210045664,M,create,happy,1
S018,child,8.154566210045664,M,create,sad,0
S019,child,7.510958904109589,M,create,happy,1
S019,child,7.510958904109589,M,create,sad,1
S020,child,9.1162100456621,F,create,happy,0
S020,child,9.1162100456621,F,create,sad,1
S021,child,6.441324200913242,F,create,happy,1
S021,child,6.441324200913242,F,create,sad,0
S022,child,6.441324200913242,F,create,happy,0
S022,child,6.441324200913242,F,create,sad,0
S023,child,7.205022831050228,M,create,happy,0
S023,child,7.205022831050228,M,create,sad,1
S024,child,6.782876712328767,F,create,happy,1
S024,child,6.782876712328767,F,create,sad,0
S025,child,7.852511415525114,F,create,happy,0
S025,child,7.852511415525114,F,create,sad,1
S026,child,6.041095890410959,M,create,happy,1
S026,child,6.041095890410959,M,create,sad,0
S027,child,6.957762557077626,M,create,happy,1
S027,child,6.957762557077626,M,create,sad,0
S028,child,7.573972602739726,F,create,happy,1
S028,child,7.573972602739726,F,create,sad,0
S029,child,6.471461187214612,M,create,happy,0
S029,child,6.471461187214612,M,create,sad,1
S030,child,7.154566210045662,M,create,happy,1
S030,child,7.154566210045662,M,create,sad,1
S031,child,7.579452054794521,M,create,happy,0
S031,child,7.579452054794521,M,create,sad,0
S032,child,8.946803652968036,M,create,happy,0
S032,child,8.946803652968036,M,create,sad,0
S034,child,7.140867579908676,M,create,happy,0
S034,child,7.140867579908676,M,create,sad,1
S035,child,9.13812785388128,M,create,happy,0
S035,child,9.13812785388128,M,create,sad,0
S036,child,6.565753424657534,M,create,happy,1
S036,child,6.565753424657534,M,create,sad,0
S037,child,8.338812785388129,M,create,happy,1
S037,child,8.338812785388129,M,create,sad,0
S038,child,8.941324200913241,M,create,happy,1
S038,child,8.941324200913241,M,create,sad,1
S039,child,7.399086757990867,M,create,happy,1
S039,child,7.399086757990867,M,create,sad,1
S040,child,6.6600456621004565,M,create,happy,0
