ID,age,sex,target,emotion,closeness
S001,8.038356164383561,F,fact,sad,6
S001,8.038356164383561,F,emo,sad,5
S001,8.038356164383561,F,fact,happy,5
S001,8.038356164383561,F,emo,happy,5
S002,8.393607305936074,F,fact,sad,5
S002,8.393607305936074,F,emo,sad,3
S002,8.393607305936074,F,fact,happy,3
S002,8.393607305936074,F,emo,happy,5
S003,7.6600456621004565,M,fact,sad,5
S003,7.6600456621004565,M,emo,sad,5
S003,7.6600456621004565,M,fact,happy,4
S003,7.6600456621004565,M,emo,happy,5
S004,6.89634703196347,M,fact,sad,6
S004,6.89634703196347,M,emo,sad,3
S004,6.89634703196347,M,fact,happy,6
S004,6.89634703196347,M,emo,happy,3
S005,9.879908675799088,F,fact,sad,5
S005,9.879908675799088,F,emo,sad,4
S005,9.879908675799088,F,fact,happy,5
S005,9.879908675799088,F,emo,happy,4
S006,7.985159817351598,F,fact,sad,5
S006,7.985159817351598,F,emo,sad,5
S006,7.985159817351598,F,fact,happy,5
S006,7.985159817351598,F,emo,happy,4
S007,7.916666666666667,F,fact,sad,6
S007,7.916666666666667,F,emo,sad,1
S007,7.916666666666667,F,fact,happy,4
S007,7.916666666666667,F,emo,happy,2
S008,8.393607305936074,F,fact,sad,3
S008,8.393607305936074,F,emo,sad,2
S008,8.393607305936074,F,fact,happy,3
S008,8.393607305936074,F,emo,happy,2
S009,9.766438356164384,M,fact,sad,4
S009,9.766438356164384,M,emo,sad,4
S009,9.766438356164384,M,fact,happy,3
S009,9.766438356164384,M,emo,happy,4
S010,8.09703196347032,F,fact,sad,5
S010,8.09703196347032,F,emo,sad,5
S010,8.09703196347032,F,fact,happy,5
S010,8.09703196347032,F,emo,happy,5
S011,7.107990867579908,M,fact,sad,2
S011,7.107990867579908,M,emo,sad,4
S011,7.107990867579908,M,fact,happy,4
S011,7.107990867579908,M,emo,happy,3
S012,8.474200913242008,M,fact,sad,4
S012,8.474200913242008,M,emo,sad,1
S012,8.474200913242008,M,fact,happy,3
S012,8.474200913242008,M,emo,happy,1
S013,6.588812785388128,M,fact,sad,4
S013,6.588812785388128,M,emo,sad,4
S013,6.588812785388128,M,fact,happy,4
S013,6.588812785388128,M,emo,happy,4
S014,6.782876712328767,M,fact,sad,6
S014,6.782876712328767,M,emo,sad,6
S014,6.782876712328767,M,fact,happy,6
S014,6.782876712328767,M,emo,happy,6
S015,8.680365296803652,M,fact,sad,4
S015,8.680365296803652,M,emo,sad,4
S015,8.680365296803652,M,fact,happy,5
S015,8.680365296803652,M,emo,happy,4
S016,7.19406392694064,M,fact,sad,6
S016,7.19406392694064,M,emo,sad,5
S016,7.19406392694064,M,fact,happy,4
