ID,age,sex,relationship,closeness
S001,8.038356164383561,F,mom_and_child,3
S001,8.038356164383561,F,strangers,6
S001,8.038356164383561,F,friends,4
S002,8.393607305936074,F,mom_and_child,2
S002,8.393607305936074,F,strangers,6
S002,8.393607305936074,F,friends,4
S003,7.6600456621004565,M,mom_and_child,3
S003,7.6600456621004565,M,strangers,6
S003,7.6600456621004565,M,friends,4
S004,6.89634703196347,M,mom_and_child,1
S004,6.89634703196347,M,strangers,6
S004,6.89634703196347,M,friends,3
S005,9.879908675799088,F,mom_and_child,1
S005,9.879908675799088,F,strangers,6
S005,9.879908675799088,F,friends,5
S006,7.985159817351598,F,mom_and_child,1
S006,7.985159817351598,F,strangers,6
S006,7.985159817351598,F,friends,5
S007,7.916666666666667,F,mom_and_child,4
S007,7.916666666666667,F,strangers,6
S007,7.916666666666667,F,friends,2
S008,8.393607305936074,F,mom_and_child,1
S008,8.393607305936074,F,strangers,6
S008,8.393607305936074,F,friends,2
S009,9.766438356164384,M,mom_and_child,2
S009,9.766438356164384,M,strangers,6
S009,9.766438356164384,M,friends,3
S010,8.09703196347032,F,mom_and_child,4
S010,8.09703196347032,F,strangers,6
S010,8.09703196347032,F,friends,5
S011,7.107990867579908,M,mom_and_child,2
S011,7.107990867579908,M,strangers,5
S011,7.107990867579908,M,friends,3
S012,8.474200913242008,M,mom_and_child,1
S012,8.474200913242008,M,strangers,6
S012,8.474200913242008,M,friends,4
S013,6.588812785388128,M,mom_and_child,4
S013,6.588812785388128,M,strangers,6
S013,6.588812785388128,M,friends,3
S014,6.782876712328767,M,mom_and_child,4
S014,6.782876712328767,M,strangers,6
S014,6.782876712328767,M,friends,1
S015,8.680365296803652,M,mom_and_child,3
S015,8.680365296803652,M,strangers,6
S015,8.680365296803652,M,friends,4
S016,7.19406392694064,M,mom_and_child,1
S016,7.19406392694064,M,strangers,6
S016,7.19406392694064,M,friends,5
S017,6.672146118721462,M,mom_and_child,5
S017,6.672146118721462,M,strangers,6
S017,6.672146118721462,M,friends,2
S018,8.154566210045664,M,mom_and_child,1
S018,8.154566210045664,M,strangers,6
S018,8.154566210045664,M,friends,4
S019,7.510958904109589,M,mom_and_child,3
S019,7.510958904109589,M,strangers,6
S019,7.510958904109589,M,friends,1
S020,9.1162100456621,F,mom_and_child,4
S020,9.1162100456621,F,strangers,6
S020,9.1162100456621,F,friends,1
S021,6.441324200913242,F,mom_and_child,6
S021,6.441324200913242,F,strangers,4
S021,6.441324200913242,F,friends,5
S022,6.441324200913242,F,mom_and_child,1
S022,6.441324200913242,F,strangers,6
S022,6.441324200913242,F,friends,5
S023,7.205022831050228,M,mom_and_child,2
S023,7.205022831050228,M,strangers,6
S023,7.205022831050228,M,friends,5
S024,6.782876712328767,F,mom_and_child,1
S024,6.782876712328767,F,strangers,6
S024,6.782876712328767,F,friends,5
