ID,age,sex,mom_sad,mom_happy,friendmom_sad,friendmom_happy
A2_001,39,NA,0,0,0,0
A2_002,15,NA,1,0,0,0
A2_003,22,NA,1,0,1,0
A2_004,23,NA,0,0,0,0
A2_005,32,NA,0,0,0,0
A2_006,44,NA,1,0,1,1
A2_007,7,NA,1,0,0,0
A2_008,10,NA,0,0,0,0
A2_009,54,NA,0,1,1,0
A2_010,38,NA,1,0,0,0
A2_011,13,NA,0,0,0,0
A2_012,33,NA,1,1,1,1
A2_013,15,NA,1,1,0,0
A2_014,3,NA,0,1,0,1
A2_015,32,NA,0,1,0,0
A2_016,11,NA,0,1,0,0
A2_017,1,NA,1,0,0,0
A2_018,11,NA,0,1,0,1
A2_019,22,NA,0,0,0,0
A2_020,2,NA,1,1,1,1
A2_021,29,NA,1,1,0,1
A2_022,9,NA,0,0,0,0
A2_023,30,NA,0,0,0,0
A2_024,11,NA,0,0,1,0
A2_025,56,NA,1,1,1,1
A2_026,30,NA,1,1,1,1
A2_027,6,NA,1,0,1,0
A2_028,15,NA,1,0,1,0
A2_029,64,NA,0,0,0,0
A2_030,12,NA,1,0,0,0
A2_031,11,NA,0,1,0,0
A2_032,17,NA,0,1,0,1
A2_033,16,NA,1,0,1,1
A2_034,14,NA,0,1,0,1
A2_035,23,NA,0,1,0,1
A2_036,24,NA,1,0,1,0
A2_037,15,NA,1,0,0,0
A2_038,34,NA,0,1,0,1
A2_039,51,NA,0,0,0,1
A2_040,26,NA,0,0,1,0
A2_041,42,NA,0,1,0,1
A2_042,30,NA,0,1,0,1
A2_043,48,NA,0,1,0,0
A2_044,21,NA,1,1,0,0
A2_045,32,NA,0,0,0,0
A2_046,9,NA,1,1,1,0
A2_047,33,NA,0,1,0,0
A2_048,9,NA,0,0,0,0
A2_049,8,NA,0,0,0,0
