ID,age,sex,mom_sad,mom_happy,friendmom_sad,friendmom_happy
S001,8.08607305936073,M,1,1,1,1
S002,7.33607305936073,M,0,0,0,0
S003,9.591552511415525,M,0,1,1,0
S004,9.210502283105022,M,1,0,0,1
S005,8.205022831050227,M,1,1,0,0
S006,7.229680365296804,F,0,1,0,0
S007,8.53013698630137,F,1,0,0,0
S008,6.140867579908676,F,0,0,0,0
S009,7.68310502283105,F,1,0,1,1
S010,9.629908675799088,F,1,0,0,1
S011,8.07945205479452,F,1,0,1,1
S012,7.232420091324201,M,0,0,0,0
S013,9.662785388127855,M,1,1,0,0
S014,7.363470319634703,M,0,0,0,0
S015,6.377168949771689,F,0,0,0,0
S016,6.930365296803653,F,0,1,1,0
S017,9.205022831050227,F,1,1,0,1
S018,7.288356164383561,M,1,0,1,0
S019,6.573972602739726,F,1,0,0,1
S020,8.755479452054795,F,0,1,0,1
S021,7.465981735159818,M,1,0,0,0
S022,9.399086757990869,M,0,1,1,1
S023,8.40730593607306,F,0,NA,0,NA
S024,6.28013698630137,F,NA,1,NA,0
S025,9.680365296803652,M,1,NA,0,NA
S026,9.707762557077626,F,0,1,0,0
S027,6.541095890410959,M,0,0,0,0
S028,6.191324200913242,M,0,0,1,0
S029,7.502739726027397,F,1,1,1,0
S030,6.21324200913242,F,0,0,0,0
S031,6.368949771689498,F,1,1,1,1
S032,9.094292237442923,F,0,0,1,1
S033,7.465981735159818,F,0,0,0,0
S034,7.657305936073059,M,0,1,0,0
S035,8.024657534246575,M,1,0,1,0
S036,7,F,0,0,0,0
S037,8.93310502283105,M,1,1,0,0
S038,8.344292237442923,F,0,0,0,0
S039,9.568493150684931,M,0,1,0,1
S040,8.412785388127855,F,1,1,0,0
S041,9.196803652968036,F,0,0,0,0
S042,8.415525114155251,M,1,0,1,1
S043,8.493378995433789,M,0,0,0,0
S044,8.841552511415525,F,0,0,0,0
S045,9.235159817351597,M,0,0,0,0
S046,6.010958904109589,M,0,0,1,0
S047,8.016438356164384,F,0,0,1,1
S048,9.25,F,0,0,0,1
S049,8.521917808219179,M,0,0,1,0
S050,6.357990867579908,F,1,1,1,1
S051,7.868949771689498,M,0,0,0,0
S052,8.073972602739726,M,1,0,1,0
S053,8.282876712328767,M,0,1,0,0
S054,6.56027397260274,F,1,1,0,0
S055,9.032876712328767,F,1,0,1,1
S056,6.72420091324201,M,0,0,0,0
S057,7.4100456621004565,F,0,0,1,0
S058,8.516438356164384,F,1,1,1,1
S059,6.516438356164383,M,0,0,0,1
S060,6.573972602739726,F,1,1,0,0
S061,9.479680365296803,F,0,0,0,1
S062,9.527397260273972,M,1,1,0,0
S063,6.669406392694064,M,0,0,0,0
S064,6.19406392694064,F,0,0,1,1
S065,6.068493150684931,F,1,0,0,0
S066,8.968721461187213,F,1,0,0,0
S067,7.519178082191781,F,0,1,0,1
S068,6.263698630136986,F,1,0,0,0
S069,6.291095890410959,NB,0,0,0,0
S070,9.099771689497718,F,1,1,1,0
S071,8.274657534246575,M,1,0,0,1
S072,6.207762557077626,M,0,0,1,0
S073,6.597031963470319,M,1,0,0,1
S074,8.460502283105022,M,1,1,0,1
S075,7.893607305936073,F,0,1,1,1
S076,8.32123287671233,F,0,0,0,1
S077,9.516438356164384,F,1,1,0,1
S078,6.107990867579908,M,1,0,0,1
S079,6.25,F,0,1,1,1
S080,7.419406392694064,M,0,0,0,0
S081,7.573972602739726,M,0,0,0,0
S082,8.027397260273972,M,1,1,0,0
S083,6.33607305936073,F,0,1,1,1
S084,6.763698630136986,M,1,1,1,1
S085,9.508219178082191,F,1,1,0,1
S086,8.344292237442923,M,1,1,0,1
S087,9.258219178082191,F,1,0,0,1
S088,6.162785388127854,F,1,0,1,0
S089,7.18310502283105,M,1,1,0,0
S090,7.707762557077626,F,0,0,0,0
S091,6.052054794520548,F,1,1,1,1
S092,8.438584474885845,M,1,0,0,1
S093,8.84703196347032,F,1,1,1,1
S094,7.468721461187215,M,1,0,1,1
S095,8.01095890410959,F,1,0,1,0
S096,6.299315068493151,M,1,1,1,1
S097,6.471461187214612,M,1,0,1,0
S098,7.422146118721462,F,0,0,1,0
S099,8.218721461187213,M,0,0,1,1
S100,6.571232876712329,F,0,0,0,0
S101,8.743378995433789,M,0,0,0,0
S102,7.016438356164383,M,0,0,0,1
S103,9.535616438356165,F,1,1,0,0
S104,9.674885844748857,M,1,1,1,1
S105,8.20228310502283,F,1,1,0,0
