study,population,measure,emotion,n,k_emo,pct_emo,BF10,BF01,direction,relationship
study1,adult,better_friend,happy,47,38,81,3151.98,0,emotion,NA
study1,adult,better_friend,sad,47,43,91,9514663.4,0,emotion,NA
study1,adult,candy,happy,47,20,43,0.18,5.56,emotion,NA
study1,adult,candy,sad,47,26,55,0.65,1.54,emotion,NA
study1,adult,ice_cream,happy,47,37,79,947.34,0,emotion,NA
study1,adult,ice_cream,sad,47,41,87,245139.75,0,emotion,NA
study1,child,better_friend,happy,57,28,49,0.28,3.57,emotion,NA
study1,child,better_friend,sad,57,44,77,1830.4,0,emotion,NA
study1,child,candy,happy,57,30,53,0.43,2.33,emotion,NA
study1,child,candy,sad,57,34,60,1.49,0.67,emotion,NA
study1,child,ice_cream,happy,57,28,49,0.28,3.57,emotion,NA
study1,child,ice_cream,sad,57,40,70,45.08,0.02,emotion,NA
study4A,adult,NA,happy,47,13,28,0.09,11.11,emotion,friendmom
study4A,adult,NA,sad,47,9,19,0.07,14.29,emotion,friendmom
study4A,adult,NA,happy,47,31,66,5.65,0.18,emotion,mom
study4A,adult,NA,sad,47,37,79,947.34,0,emotion,mom
study4A,child,NA,happy,57,28,49,0.28,3.57,emotion,friendmom
study4A,child,NA,sad,57,22,39,0.12,8.33,emotion,friendmom
study4A,child,NA,happy,57,31,54,0.56,1.79,emotion,mom
study4A,child,NA,sad,57,43,75,641.15,0,emotion,mom
study4B,adult,NA,happy,49,16,33,9.4,0.11,fact,friendmom
study4B,adult,NA,sad,49,14,29,40.21,0.02,fact,friendmom
study4B,adult,NA,happy,49,22,45,0.63,1.59,fact,mom
study4B,adult,NA,sad,49,20,41,1.23,0.81,fact,mom
study4B,child,NA,happy,103,43,42,1.7,0.59,fact,friendmom
study4B,child,NA,sad,104,38,37,17.04,0.06,fact,friendmom
study4B,child,NA,happy,103,41,40,3.53,0.28,fact,mom
study4B,child,NA,sad,104,52,50,0.24,4.17,fact,mom
study2,adult,NA,happy,49,16,33,0.1,10,emotion,friend
study2,adult,NA,sad,49,28,57,0.86,1.16,emotion,friend
study2,adult,NA,happy,49,16,33,0.1,10,emotion,bestfriend
study2,adult,NA,sad,49,35,71,40.21,0.02,emotion,bestfriend
study2,child,NA,happy,103,39,38,0.07,14.29,emotion,friend
study2,child,NA,sad,104,50,48,0.18,5.56,emotion,friend
study2,child,NA,happy,103,57,55,0.71,1.41,emotion,bestfriend
study2,child,NA,sad,104,64,62,6.48,0.15,emotion,bestfriend
study3A,adult,create,happy,47,23,49,0.31,3.23,emotion,NA
study3A,adult,create,sad,46,22,48,0.28,3.57,emotion,NA
study3A,child,create,happy,57,33,58,1.03,0.97,emotion,NA
study3A,child,create,sad,57,28,49,0.28,3.57,emotion,NA
study3B,adult,deepen,happy,49,16,33,0.1,10,emotion,NA
study3B,adult,deepen,sad,49,8,16,0.06,16.67,emotion,NA
study3B,child,deepen,happy,103,45,44,0.11,9.09,emotion,NA
study3B,child,deepen,sad,104,37,36,0.06,16.67,emotion,NA
