model,term,median,CI_low,CI_high,pct_in_ROPE,pd
study1_bf_child,b_Intercept,-0.02,-0.45,0.41,36.5,0.54
study1_bf_child,b_emotionsad,1.21,0.56,2.06,0,1
study1_bf_child,b_age_c,0.39,-0.01,0.89,7,0.973
study1_bf_child,b_emotionsad:age_c,0.48,-0.17,1.24,8.8,0.923
study1_bf_adult,b_Intercept,1.05,0.55,1.96,0,1
study1_bf_adult,b_emotionsad,0.61,-0.1,1.43,5.7,0.954
study1_food_child,b_Intercept,0.07,-0.29,0.43,39.3,0.651
study1_food_child,b_emotionsad,0.2,-0.28,0.67,23.2,0.795
study1_food_child,b_measureice_cream,-0.09,-0.57,0.39,29.8,0.642
study1_food_child,b_age_c,-0.04,-0.38,0.31,42,0.582
study1_food_child,b_emotionsad:measureice_cream,0.4,-0.29,1.1,11.6,0.873
study1_food_child,b_emotionsad:age_c,0.11,-0.36,0.58,29.1,0.681
study1_food_child,b_measureice_cream:age_c,0.32,-0.13,0.8,14.5,0.912
study1_food_child,b_emotionsad:measureice_cream:age_c,-0.4,-1.08,0.26,11.6,0.881
study1_food_adult,b_Intercept,-0.19,-0.56,0.17,25.5,0.854
study1_food_adult,b_emotionsad,0.33,-0.17,0.84,14.1,0.897
study1_food_adult,b_measureice_cream,1.02,0.48,1.58,0,1
study1_food_adult,b_emotionsad:measureice_cream,0.02,-0.78,0.83,19.3,0.521
study1_cellmeans_child,b_Intercept,0.07,-0.28,0.42,39,0.658
study1_cellmeans_child,b_cond4sad_candy,0.19,-0.27,0.67,24.3,0.784
study1_cellmeans_child,b_cond4happy_ice_cream,-0.09,-0.57,0.38,30.5,0.651
study1_cellmeans_child,b_cond4sad_ice_cream,0.5,0.02,1,4.3,0.979
study1_cellmeans_adult,b_Intercept,-0.19,-0.56,0.17,25.1,0.847
study1_cellmeans_adult,b_cond4sad_candy,0.33,-0.18,0.83,14,0.896
study1_cellmeans_adult,b_cond4happy_ice_cream,1.01,0.46,1.55,0,1
study1_cellmeans_adult,b_cond4sad_ice_cream,1.36,0.79,1.98,0,1
study4A_child,b_Intercept,-0.05,-0.45,0.36,37.3,0.591
study4A_child,b_emotionsad,-0.31,-0.82,0.19,15,0.89
study4A_child,b_relationshipmom,0.19,-0.31,0.69,23.3,0.771
study4A_child,b_age_c,-0.26,-0.68,0.13,17.2,0.911
study4A_child,b_emotionsad:relationshipmom,1.12,0.36,1.9,0.3,0.998
study4A_child,b_emotionsad:age_c,0.19,-0.3,0.69,23.2,0.777
study4A_child,b_relationshipmom:age_c,0.43,-0.06,0.93,8.2,0.954
study4A_child,b_emotionsad:relationshipmom:age_c,0.25,-0.48,1.02,16.9,0.749
study4A_adult,b_Intercept,-0.69,-1.17,-0.25,0.5,0.999
study4A_adult,b_emotionsad,-0.37,-0.99,0.22,12.7,0.889
study4A_adult,b_relationshipmom,1.18,0.62,1.77,0,1
study4A_adult,b_emotionsad:relationshipmom,0.85,0.02,1.73,2.8,0.977
study4B_child,b_Intercept,-0.27,-0.57,0.04,13,0.957
study4B_child,b_emotionsad,-0.15,-0.54,0.23,30,0.784
