model,term,median,CI_low,CI_high,pct_in_ROPE,pd
study1_bf_noage,b_Intercept,-0.03,-0.46,0.43,34.6,0.552
study1_bf_noage,b_emotionsad,1,0.43,1.7,0.1,1
study1_food_noage,b_Intercept,0.08,-0.28,0.43,39.3,0.668
study1_food_noage,b_emotionsad,0.19,-0.28,0.66,24.2,0.788
study1_food_noage,b_measureice_cream,-0.09,-0.57,0.37,30.3,0.656
study1_food_noage,b_emotionsad:measureice_cream,0.41,-0.27,1.07,11.6,0.885
study2_noage,b_Intercept,-0.35,-0.63,-0.07,3.9,0.994
study2_noage,b_emotionsad,0.29,-0.07,0.65,13.3,0.945
study2_noage,b_relationshipbestfriend,0.5,0.14,0.87,1.6,0.997
study2_noage,b_emotionsad:relationshipbestfriend,-0.11,-0.62,0.38,27.8,0.674
study3A_noage,b_Intercept,0.22,-0.14,0.6,22.2,0.883
study3A_noage,b_emotionsad,-0.25,-0.72,0.23,19.3,0.843
study3B_noage,b_Intercept,-0.21,-0.56,0.1,21.8,0.903
study3B_noage,b_emotionsad,-0.26,-0.66,0.13,17.7,0.905
study4A_noage,b_Intercept,-0.02,-0.39,0.35,40.7,0.55
study4A_noage,b_emotionsad,-0.3,-0.79,0.19,15.5,0.89
study4A_noage,b_relationshipmom,0.15,-0.34,0.65,26.2,0.724
study4A_noage,b_emotionsad:relationshipmom,0.96,0.24,1.69,0.7,0.997
study4B_noage,b_Intercept,-0.26,-0.56,0.03,13.8,0.958
study4B_noage,b_emotionsad,-0.16,-0.53,0.22,29.1,0.791
study4B_noage,b_relationshipmom,-0.06,-0.44,0.31,38.3,0.628
study4B_noage,b_emotionsad:relationshipmom,0.47,-0.06,1.02,7.2,0.959
